;Player_Name;Transcription_Text
0;MATT;Hello, everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons and Dragons.
1;MATT;Glad you could join us for what is essentially the final and epilogue episode of our five-year campaign.
2;MATT;We're excited you guys could come join us.
3;SAM;Not the final episode of the show!
4;MATT;We will return.
5;MATT;We're looking probably at the start of the new year with a new campaign, new characters.
6;LAURA;But we'll have one-shots and stuff in between.
7;MATT;Yeah, we'll have fun stuff to break it up and give us some time to let off some steam in the meantime.
8;MATT;But before we get into tonight's game, let's get through some quick announcements.
9;MATT;First off, we wanted to give a shout out.
10;MATT;If you guys haven't seen it yet, Shadow of War just came out, the sequel to Shadow of Mordor.
11;MATT;A bunch of us have worked on it and if you haven't seen, we had the opportunity to do a cool thing with WB Games and the folks at Monolith.
12;MATT;We did a Shadow of War one-shot that was uploaded as a two-parter.
13;LAURA;It was so much fun!
14;LIAM;You were so cute, all of you.
15;LIAM;It was the cutest orc adventure that ever happened.
16;SAM;You watched it?
17;LIAM;Both episodes.
18;LAURA;Thanks bro!
19;MATT;It was a lot of fun.
20;MATT;We had Sam, Laura, Travis, and the illustrious Darin De Paul as our four orcs and/or olog-hai, charging their way through Mordor in hopes of victory spoils and all that.
21;LAURA;It's real fun to be stupid.
22;TRAVIS;I don't know what you're talking about.
23;MATT;So I recommend checking it out if you haven't yet.
24;MATT;Merch update, Laura?
25;LIAM;Wait!
26;LIAM;Something I can say now.
27;LIAM;I didn't have the green light, but I am in that game.
28;LIAM;I had to fib and say that I wasn't in that game, but I'm in that game!
29;LIAM;I am back as Gollum!
30;LIAM;And I run around and I do this, and I do this, and I do this, and I do this.
31;LIAM;(Gollum voice) Tasty fish!
32;MATT;If you guys haven't seen Liam's Gollum in the games, it's the most ridiculous--
33;TRAVIS;Also to point out, you did the full mo-cap for it.
34;TRAVIS;Not just the VO.
35;LIAM;Broke my back, scuttled around like I was a young buck, which I'm not.
36;LIAM;It was great!
37;LAURA;I wish I still had the video of you that you sent me after you first started, yeah.
38;LAURA;When he first started playing Gollum, he sent me this video of him running around his living room, jumping up on his couch, then running over and jumping up your entertainment system or something.
39;LIAM;I put my laptop on the coffee table, I hit click, and I started going--
40;LAURA;It was so amazing.
41;LIAM;Because I'm a nerd.
42;MATT;Awesome.
43;MATT;Well, thank you for the follow-up on that, Liam.
44;MATT;Laura?
45;LAURA;Oh, well, technically, I have to shove this one to Liam and Taliesin, as well.
46;TALIESIN;I feel like we've been doing the thing for a while now.
47;LIAM;Yeah, like when parents have a baby, you don't see them for a while.
48;LIAM;They're with that baby every hour, every minute.
49;LIAM;(yelling) Oh my gosh, it's the new art book!
50;LIAM;Oh my god, it's gorgeous!
51;LIAM;I took it out of the Ark of the Covenant, and here it is!
52;LAURA;Okay, I should qualify this, because it's not in the store yet, you guys, so don't go to the store and freak out.
53;LAURA;It just came into the office.
54;LIAM;Yeah, this is just our viewing copy.
55;LIAM;There will be more details--
56;SAM;What does it say on the title there?
57;LIAM;It says The Chronicles of Exandria: The Tale of Vox Machina.
58;LIAM;One.
59;SAM;Volume One?
60;SAM;Implying that there's going to be more?
61;TALIESIN;Implying that we'd like to.
62;LIAM;We'd like there to be.
63;LIAM;And you guys can tune in next week to Talks Machina, where we will have more info, more details.
64;LAURA;We'll say when they're going to go in the store.
65;MATT;Can you give a teaser flip of any pages?
66;LIAM;I have been told that I cannot give a teaser flip.
67;LIAM;But wait, guys.
68;LIAM;There's more!
69;LIAM;Taliesin, if you would?
70;TALIESIN;Well, we did two editions because we wanted to do something a little ridiculous.
71;TALIESIN;And so--
72;SAM;What is this?
73;SAM;A special edition?
74;TALIESIN;This is a special edition.
75;TALIESIN;It's a little more fancy.
76;TALIESIN;It's got the ribbon and leather and gold foil.
77;TALIESIN;It's got an evil tome vibe, and it's got lots of little wonderful details.
78;LIAM;We have held that book and looked through it.
79;LIAM;I cried 97 times in one minute.
80;LIAM;It is so beautiful.
81;MARISHA;It really looks like crying for 60 seconds.
82;LAURA;Tune in to Talks Machina on Tuesday.
83;LAURA;We'll give you more details about how you can purchase them.
84;LAURA;And you can always check out geekandsundry.com/artbook for more updates.
85;LAURA;They're coming soon.
86;LAURA;They should be in the warehouse very soon, so that's happy for the holidays.
87;LIAM;Joe Madureira art!
88;LAURA;I'm excited!
89;TALIESIN;Yeah, there's lots to talk about in these books.
90;TALIESIN;I'm very excited!
91;TRAVIS;And to cure any freakout, Ashley is going to join us.
92;TRAVIS;She's finishing up.
93;MATT;Finishing up shooting on Blindspot.
94;MATT;So she'll pop in when she can.
95;LAURA;This is her day job!
96;TALIESIN;We keep trying to tell her that, don't we?
97;LIAM;Wait.
98;LIAM;There's one last thing.
99;SAM;Two more editions of the art book!
100;LIAM;I got one last thing, for funsies.
101;LIAM;It's a really late birthday present.
102;LIAM;It's kind of for funsies, but Travis, I have something for you that I've been wanting to give you for a while.
103;SAM;Is that an experience?
104;TRAVIS;Can I open it?
105;LIAM;Yeah, go for it.
106;TRAVIS;What the fuck is this?
107;TRAVIS;(gasps)
108;SAM;Is it the Belt of Dwarvenkind?!
109;SAM;(yelling)
110;LAURA;Look at how big the face is!
111;TRAVIS;Oh my god!
112;TRAVIS;Hug me through my wife!
113;TRAVIS;That's so great!
114;TRAVIS;I can't get hit in the dick with this on!
115;TRAVIS;This is amazing!
116;TRAVIS;It really covers the whole kit and kaboodle!
117;LIAM;And your beard will double in length the moment you put it on.
118;LIAM;I had to repay you for the raven mask you gave me, once upon a time.
119;LAURA;Oh yeah, our drunken ren fair purchases.
120;LAURA;I was like, that's a cool mask!
121;LAURA;Where'd you get it?
122;LAURA;And you said, you got that for me.
123;LIAM;Your husband just bought this for me!
124;LIAM;Thanks, Laura!
125;MATT;There you go.
126;MATT;Also immune to poison.
127;MATT;Good job.
128;MATT;Perfect!
129;MATT;So other updates.
130;MATT;We are officially announcing the second edition of Vox Machina: Origins, the Critical Role comic.
131;MATT;It's going to be available October 18th, so look for that on all your great comic book-- Comixology, the Dark Horse app, and all the other places that I can't think of right now.
132;MATT;But yeah, so super exciting.
133;MATT;This one starts bringing in some of the other members of Vox Machina who didn't show up in the first issue.
134;MATT;So take a look at it, hope you guys enjoy.
135;MATT;Let's see.
136;MATT;Other quick announcements.
137;MATT;Wednesday Club, Taliesin, you have coming up?
138;TALIESIN;Yeah, it's October, so we're doing Halloween.
139;TALIESIN;We're doing Hellboy, which I don't really know much about.
140;TALIESIN;I couldn't think of anybody who knew a lot about Hellboy.
141;TALIESIN;Do you know a lot about Hellboy?
142;LIAM;I know a lot about Hellboy.
143;TALIESIN;Do you want to come on Wednesday Club?
144;LIAM;Yes, please!
145;LIAM;Oh!
146;LIAM;I bought a Hellboy comic today!
147;LIAM;Another black compendium book to go with my other big black blades on my shelf.
148;MATT;Liam likes things that are big and black.
149;LAURA;I'm glad your mind went there, too.
150;TALIESIN;It's going to be Wednesday Club on Hellboy.
151;MATT;Then you have something on Friday, as well?
152;TALIESIN;I do!
153;TALIESIN;I've decided it would be really funny to be here really late three days in a row for the rest of my life, and so I'm-- I don't want to quite say taking over.
154;TALIESIN;Is taking over the word?
155;MARISHA;That's fair.
156;TALIESIN;I'm taking over Gather Your Party on Friday nights now, and we're giving it a bit of a revamp.
157;TALIESIN;It's going to be a bit of a different vibe.
158;TALIESIN;It's going to be a little shorter.
159;TALIESIN;It's going to be fun.
160;TALIESIN;Our very first episode is going to be called Gather Your Goth, and we're going to be giving some of our friends goth makeovers and having a goth dance contest.
161;LAURA;Can I get made over?
162;LAURA;When are you doing it?
163;TALIESIN;Tomorrow night.
164;LAURA;Shit, I'm not going to be here!
165;LAURA;Fuck, I really want to be made over!
166;TALIESIN;Well I'll tell you what.
167;TALIESIN;You let me know, and you can come over and have a goth makeover.
168;MATT;Next time you do it, you do whatever it's called, and then in parentheses Laura Your Goth, or Goth Your Laura.
169;TALIESIN;Gather Your Laura.
170;TALIESIN;You would goth out very well.
171;TALIESIN;I think I would be excited by that.
172;MATT;All right.
173;MATT;To finish this up, let's see.
174;MATT;I forgot to mention it last week, but those of you guys who have been playing the Telltale Batman game, the new Pact episode came out recently with Harley Quinn and Bane, and I play Mr.
175;MATT;Freeze!
176;MATT;It's been a lot of fun, and I've been continuously recording on it.
177;MATT;Hope you guys enjoy more fun to come with that delightful character.
178;LIAM;You do have a cold heart.
179;MATT;It's true.
180;MATT;Then you guys had a Sagas of Sundry announcement?
181;MARISHA;Oh yeah!
182;MARISHA;Sagas of Sundry announcement!
183;MARISHA;Cast list went out!
184;MARISHA;Who's in it?
185;MARISHA;We are!
186;LIAM;I didn't see you there at all!
187;MARISHA;Look again!
188;MARISHA;Abigail Persimmon.
189;TALIESIN;The magic of the goth makeover strikes again!
190;TALIESIN;(cackles)
191;MARISHA;I'm not coming tomorrow because I've already had mine.
192;TALIESIN;No, I bought this shirt when we went shopping.
193;MARISHA;That's right!
194;MARISHA;You did!
195;MARISHA;We went on a shopping trip, and we had so much fun.
196;LIAM;It was fucking wild.
197;MARISHA;Anyone who hasn't seen any of the first season--
198;MATT;Thanks for keeping tally.
199;TRAVIS;He picked his cup up without drinking it again!
200;TRAVIS;Picks it up.
201;TRAVIS;(thunk)
202;LIAM;Like an animatronic sailor!
203;MATT;Like a raccoon that can't find a river, I go through the motions of washing my food.
204;MATT;All right.
