;Player_Name;Transcription_Text
0;MATT;Hello everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons.
1;MATT;"We have a bunch of announcements; try and get through them as fast as possible."
2;MATT;First and foremost, Taliesin Jaffe is on his way, he's playing the part of Sam Riegel and being late today.
3;SAM;Yeah.
4;SAM;Clever.
5;MATT;But he'll be here shortly.
6;MATT;And we do not have a Travis Willingham tonight, unfortunately, he is out of town shooting something pretty awesome, so yeah, boo indeed.
7;MATT;Not watching Avengers this time.
8;LAURA;That was the only time he's missed.
9;MATT;That was the only time he's missed it, yeah.
10;MATT;And he was not happy.
11;MATT;I know.
12;MATT;He's like, why is everyone else leveling and not me yet?
13;MATT;Nah, sorry dude.
14;MATT;Anyway, so we'll miss you Travis, sorry you're not here.
15;MATT;Oh, it sounds like we have a Taliesin.
16;MATT;Get in there, Taliesin.
17;MATT;We have two sponsors--
18;SAM;Wait, what, Matt?
19;SAM;Two sponsors?
20;MATT;What?
21;MATT;Two sponsors.
22;MATT;We're splitting this up, is what we're doing.
23;MATT;First, the new tonight-only sponsor we have is Puzzle Quest, Magic Puzzle Quest, actually.
24;MATT;If you've watched any other programs this week, Me, Marisha, Liam and Taliesin all did a show that was on Tuesday.
25;MATT;Before Talks Machina.
26;MATT;Game the Game, with Rebecca and Ivan, where we played it, as well as a number of other ridiculous games.
27;MATT;But it's great, I grew up playing Magic, it's very much a mutually--
28;SAM;Oh, Taliesin has it on his iPad right there!
29;MATT;There you go, and it's facing sideways.
30;MATT;But it's a puzzle drop game, but mixed in with the mechanics of Magic.
31;MATT;It's free, you can check it out, and they're being awesome, sponsoring us tonight.
32;MATT;If you're into fantasy and that type of three-match games, totally up your alley, and if you click on the link in chat, which is bit.ly/criticalquest and try the game out.
33;MATT;That's where you can go ahead and find it.
34;MATT;So--
35;LIAM;You should totally play that during the Thordak fight.
36;TALIESIN;This is my plan, while you guys are doing your stuff, I'm going to be playing Puzzle Quest.
37;MATT;Oh and Taliesin, also I have left a sheet there for your updated Cabal's Ruin.
38;MARISHA;Yeah, we have updated stuff.
39;TALIESIN;Wow, you nerfed me.
40;TALIESIN;Okay.
41;TALIESIN;I'm just kidding.
42;MATT;No, in working on the campaign guide, and the section about the Vestiges, while also seeing how things played out through the game as we've gone through, there's been a slight balance tweak to a couple of them, most in your favor.
43;MATT;Enjoy.
44;TALIESIN;I think you were giving me a little bit of this drunkenly during Westworld, if I recall.
45;MATT;I think so, actually, yeah.
46;MARISHA;The main thing that has changed on the Spire of Conflux is that I now gain plus one bonus to spell attack rolls and my spell save DC increases by one.
47;MATT;It's a benefit to you.
48;MARISHA;Yes it is.
49;MATT;It's a benefit to anybody who uses it in their own home campaign, it is not just specific.
50;LAURA;And Fenthras is a plus five to attack?
51;LAURA;And plus ten to damage rolls?
52;LIAM;12 hours of wings, Matt?
53;LIAM;Thank you!
54;MATT;All the Vestiges suddenly turn to dust.
55;MATT;In your bag.
56;MATT;And your tears.
57;LIAM;You have chosen poorly.
58;MATT;Exactly.
59;MATT;So yeah!
60;MATT;So aside from Magic Puzzle Quest, we also have our secondary sponsor, Loot Crate!
61;SAM;You know, guys, I always do a little fun Loot Crate thing, but this week I'm not going to be doing the Loot Crate announcement.
62;SAM;This week, my new character that I've been workshopping, Brody Slater!
63;SAM;Of Malibu, California is going to be doing the Loot Crate ad.
64;SAM;I've been workshopping this, I've been doing some acting coach work with it.
65;TALIESIN;How you never did a rhyme on SNL is beyond me, man, I don't know how--
66;SAM;It's a showcase for Loot Crate, but it's also a showcase for my acting.
67;SAM;(laughter) Let me get into character real quick.
68;SAM;Yo surf bros and bunnies!
69;SAM;December can be a mondo bogus bummer!
70;SAM;You want to lock in on a maxed out cruncher, ride an outside breaker, shoot the curl on an epic set, but you can't!
71;SAM;It's too cold!
72;SAM;The beaches are blown out, the swells are glassy, and you feel like you're getting a sand facial, like some gremlin poser, amirite?
73;SAM;Well not for long!
74;SAM;Get amped again with December's radical Loot Crate.
75;SAM;The primo duds'll get your heart beating like a gnarlatious double spinner, toes on the nose!
76;SAM;The geeky gear will make you feel like you're droppin' in on the wedge, pruning out at Pendleton, or taking a face goofy-foot at Sano, outrageous!
77;SAM;So don't wipe out, sign up!
78;SAM;For Loot Crate!
79;SAM;At lootrate.com/criticalrole, promo code critical role for ten percent off your first month.
80;SAM;Bonzai!
81;SAM;All right.
82;SAM;(cheering)
83;MATT;That's pretty good!
84;MATT;A little Scottish at the end, though.
85;TALIESIN;Somewhere in Topanga Canyon right now, Dweezil Zappa is bleeding from the nose, going: oh!
86;TALIESIN;What?!
87;TALIESIN;What?
88;TALIESIN;!
89;LAURA;That blonde hair did something for your complexion, though.
90;TALIESIN;Yeah, no, you were glowing.
91;LIAM;No wonder you're in voiceover!
92;SAM;I mean, we're versatile actors, and I just want to showcase that to the people!
93;MATT;I hope that's a sneak peek of your character in the next campaign, Sam.
94;SAM;Definitely.
95;MATT;Thank you Loot Crate, thank you Magic Puzzle Quest-- Check 'em both out, guys.
96;MATT;Couple quick announcements!
97;MATT;Talks Machina will be up next Tuesday, and every following Tuesday simulcast both on Twitch and Alpha!
98;MATT;So you guys can still get a chance to watch it, the Alpha supporters will still have all the access to it.
99;MATT;It's going to be awesome, glad you guys get a chance to follow us along with that and to try out the platform, and enjoy it on Twitch.
100;MATT;So yay!
101;MATT;So, next Talks will have a couple guests, which you might meet later on this evening, will be joining the next episode this Tuesday at 7:00pm here and on Alpha.
102;MATT;You're welcome, Brian.
103;MATT;Next up!
104;MATT;Next Monday December 12th, from 4:00pm to 6:00pm, there's an extra special holiday season episode of Dick and Johnson happening here.
