;Player_Name;Transcription_Text
0;MATT;Hello, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons and Dragons.|(heavy sigh) Every goddamn week. Anyway! Before we jump into the craziness of tonight's episode, let's get through some quick announcements, here! First and foremost, merch update. Laura, what do we got?
1;LAURA;"Well, those amazing David Mack posters that are only on sale-- well, okay, here's the thing.|The signed ones are only available for one more day; they're going away tomorrow, forever and ever and ever, amen. After that, the not-signed version will be available for one more week, and then those are gone forever and ever, amen. So if you want them, you should get them. We also have a bunch of other shirts, like the Scanlan t-shirt, and the Vox Machina t-shirt, and every other t-shirt that are so soft and comfy and cozy. And the Slayer's Cake apron!"
2;MATT;They're shipping soon, right?
3;LAURA;Those will be shipping soon. Those will be shipping-- yeah, pretty soon. Pre-orders are still available right now. With the posters-- I'm going completely out of order-- with the signed ones, it's going to take a few extra weeks to ship those because we all have to sign them. Just be patient.|We love you, and you will get them! The ones that aren't signed will get shipped out a little bit faster.
4;SAM;So one day for those.
5;LAURA;One more day! (singing) One!
6;MARISHA;Tell your friends! Tell your wives!
7;MATT;Perfect. Next update, we have Wednesday Club for next week.
8;TALIESIN;Wednesday Club! We're in an interesting transition point for a lot of shows on Geek and Sundry, so we thought we'd have a card party. It's not as sexy as it sounds.
9;MATT;I disagree, sir!
10;TALIESIN;Are you in? Are you down?
11;MATT;Yeah, I am!
12;TALIESIN;We're opening card packs!
13;MATT;I'm going to be there for this!
14;TALIESIN;Matt Mercer is going to join us for the Wednesday Club. We may have a few other guests.|You want to come?
15;LAURA;Can we all come and open card packs?
16;LIAM;Will you also someday have a Pog episode?
17;TALIESIN;We already did a Pog episode.
18;LIAM;Shut your mouth!
19;TALIESIN;We actually made it rain Pogs! It was great! You can come. We're going to have another Pog party!
20;SAM;You'll have lots of time after this, Liam!
21;TALIESIN;"Since the show is moving to its new time, 7:00-9:00pm, so we're going to be opening card packs. Talking about them, being really dumb and in our pajamas, and it's going to be great.|Definitely Matt, and there's going to be a bunch of people showing up; it's going to be great!"
22;MATT;That's so much of my childhood, you have no idea.
23;LIAM;What kind of cards?
24;TALIESIN;We're confirmed with some Jim Lee X-Men Series One. We're confirmed with some Superman vs.|Doomsday cards.
25;MATT;Any Marvel Masterpiece?
26;TALIESIN;We're working on Marvel Masterpiece.|Unopened. We've got some Kirby cards, some classic Avengers cards. We're doing a little bit of everything. We've got a couple we're working on, though. Marvel Universe Series One of Three is what we're really working on.
27;MATT;I'll talk more about it on the show, but I have a long history with those cards. All righty! Thank you, Taliesin! Signal Boost, I believe we had our recent episode went up this week with our fantastic Ashley Johnson! (cheering)
28;LAURA;It was so good!
29;MARISHA;Boosting Taliesin!
30;LIAM;Taliesin, you looked taller in that Signal Boost.
31;TALIESIN;I was wearing smaller people on my feet, so it helped.
32;MATT;He learned from the last episode, if you stack them in a trenchcoat.
33;LIAM;I just thought of four people that fit that bill and decided not to say any of their names.
34;ASHLEY;We had been planning for that episode, I remember talking to Marisha. I was like, I kind of want to boost Taliesin. We were like, everybody knows who Taliesin is.
35;TALIESIN;Over half those facts at the beginning are actually true.|Even if they've been goosed a bit.
36;MARISHA;They're peppered in between. The beauty of that is you're not sure which ones are true and which ones aren't! They're back and forth. The bees are true.
37;TALIESIN;The bees are true.
38;MATT;Two more people have to die before you eventually become the most interesting man in the world.
39;TALIESIN;One now.
40;MATT;One now? That's right.
41;TALIESIN;That's dark, but that's where we are.
42;LIAM;The guy who's running Canada is very young, so we're going to have to wait a while.
43;MATT;Last but not least. Couple things. Talks Machina, every Tuesday, 7:00pm Pacific Time here on Twitch and Alpha with our fantastic Brian Foster, talk about this episode next-- no, not next week, we're off next week because it's 4th of July. We'll talk about this episode and next episode on Talks two weeks from now. We'll see you then. Today, the Sagas of Sundry: Dread went up.|Which we're super excited about. For those who were here for International Tabletop day, Ivan van Norman ran me, Taliesin, Satine Phoenix, Amy Dallen, Amy Vorpahl through a very intense game of Dread, all being late 80s, early 90s high school kids going up to a cabin experience, and it was awesome. Well, we made a show! It was amazing.
44;TALIESIN, MARISHA;It's so good!
45;MATT;It's genuinely one of the coolest experiences I've ever had as a player in a game.
46;MARISHA;"I feel like we invented a new form of theater; it's weird."
47;MATT;If you have the opportunity, it's on Alpha.|If you have Alpha, go check it out. If you don't have Alpha, there's a 60-day free trial code.|What's the code?
48;MARISHA;SHIPMATES.
49;MATT;SHIPMATES.
50;TALIESIN;Only today, though. Today's the last day.
51;MARISHA;Until tomorrow.
52;MATT;"You have until tomorrow to try it out, so if you're like, ""I don't want to pay for Alpha!"" Well, you don't have to for 60 days now! Just put SHIPMATES in, and you'll be fine."
53;TALIESIN;This is the first time I've ever said this out loud: Seriously, go check out Alpha for this show. It's worth it. It's amazing. Oh my god!
54;MARISHA;Adam Lawson was the director. Sean and I were the producers.
55;TRAVIS;Is there any nudity?
56;TALIESIN;Yes, but probably not any you're going to be happy with. To be fair. I may make a post later on Twitter tomorrow or something to really talk about it.|I have a lot of feelings about this show.
57;LIAM;What's on your mind, Sam?
58;SAM;Nothing. The power's out at my house! Just distracted because I just came from my house, and the power was out, that's all. I'm worried about my kids. Are they going to have their little fans on tonight to keep them cool? Are they going to light candles in their room? I don't know!
59;TALIESIN;Are they watching Twitch by candlelight?
60;SAM;They are definitely watching Twitch.
61;LAURA;Can they have a pillow fort in the living room?
62;SAM;Maybe, if they can find the living room. It's dark!
63;TALIESIN;Just hear the sound of a wine aerator in the background.
64;SAM;Oh yeah, they have their wine aerator. They each have their cell phones. They're okay.|(laughter)|They aerate their milk.
