;Player_Name;Transcription_Text
0;MATT;And welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons. Tonight's gonna be a fun one. But before we jump into it--
1;LIAM;What does that mean? What does that mean?
2;MATT;I don't know. We ended on an interesting note.
3;MARISHA;I think I just peed a little.
4;MATT;Yeah.
5;TRAVIS;Do y'all hear that heartbeat in your ears?
6;MATT;It's weird.
7;MARISHA;Yeah.
8;MATT;(heartbeat noise) But before we get to that, let's go ahead and get to our opening announcements. First and foremost, our glorious returning sponsor for the evening, our friends at Loot Crate!
9;ALL;Loot Crate!
10;MATT;Fantastic, awesome people. Sam, is there something you want to talk about?
11;SAM;Yeah. You know, a lot of my Loot Crate plugs have been comedic, or cute.|Some would say clever.
12;TALIESIN;Debatable.
13;TRAVIS;I don't know if I'd go that far.
14;SAM;But one thing that has been lacking is a sense of spectacle. Of human achievement. Of record breaking. So tonight I'm going to attempt something that's never been attempted before. I'm going to do the Loot Crate copy read here. While drinking an entire Coca-Cola.
15;LIAM;Oh no.
16;SAM;And a bite-sized 100 Grand bar, Snickers bar, Milky Way, Twix, another bite-sized Snickers bar, a Reese's Peanut Butter Cup, and a packet of Big League Chew.
17;TRAVIS;Yes!
18;LIAM;Oh no.
19;LAURA;What? You're going to vomit.
20;SAM;In two minutes.
21;LAURA;You're going to vomit, Sam.
22;SAM;Also, all this stuff melted in my car.
23;LIAM;Notice he's got a towel down.
24;MARISHA;That's actually really gross-looking.
25;LAURA;Oh god! He does have a towel down.
26;TALIESIN;This looks unhappy.
27;SAM;All right. Travis?
28;TRAVIS;Yeah yeah.
29;SAM;You got the clock ready?
30;TRAVIS;Yeah.
31;SAM;Two minutes, can it be done? The answer is no. (laughs) Ready?
32;TRAVIS;Three, two, one.
33;SAM;Loot Crate is a curated collection of awesome items from the best pop culture franchises delivered to your door every month. You get the best and most exclusive licensed figures, t-shirts, home goods, and more.
34;LAURA;Oh no.
35;TRAVIS;You're doing good. You're doing good.
36;LIAM;My god.
37;LAURA;He's going to spew.
38;MARISHA;At least it's a Mexico--
39;TRAVIS;No, no, don't help him.
40;TALIESIN;Let it happen! Let it happen!
41;SAM;Don't help me!
42;MARISHA;No, we're good. It's better. It's better.
43;SAM;This week's crate theme is Primal. Featuring awesome swag from X-Men, Overwatch and Predator.
44;TRAVIS;30 seconds.
45;SAM;Give yourself every month or give the gift of geeking out to a friend or loved one. And if you visit lootcrate.com/criticalrole and use the coupon code 'criticalrole', you'll get 10% off your Loot Crate monthly geek crate.
46;LAURA;Don't do it!
47;TALIESIN;Big League Chew! No god!
