;Player_Name;Transcription_Text
0;MATT;Hello, everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons and Dragons.
1;MATT;Tonight, picking up from a crazy episode last week, we have Percy among us still.
2;TALIESIN;Hi!
3;TALIESIN;Ugh, my product!
4;MATT;We'll get through a few announcements.
5;MATT;One, apparently this is the night where we all wear the same shirt, because that happened.
6;MATT;Also, three of us may have gone to a CHVRCHES concert on Monday and are obsessed with them, so there's that.
7;MATT;Anyway.
8;MATT;Let's jump in here.
9;MATT;First and foremost, tonight is our fantastic sponsor returning as often as they do and thank you so much, Loot Crate!
10;MATT;(cheering)
11;SAM;Loot Crate.
12;SAM;The theme of this month is horror.
13;SAM;I've been dabbling in the hip-hop world lately, so I prepared a little rap.
14;SAM;It's pretty street, guys.
15;LAURA;Oh no!
16;LAURA;No, you are not doing that right now!
17;SAM;It's going to be pretty hardcore, so buckle up.
18;SAM;Maestro, I need a track.
19;SAM;[hip-hop music] A little louder.
20;SAM;Got to feel a jam here.
21;SAM;My name is MC Sammy, and I'm here to say, I love Loot Crate in a major way.
22;SAM;Their boxes are fly and full of loot.
23;SAM;You'll feel real dope and that's no bull shoot!
24;SAM;Yeah!
25;SAM;(record scratch) I'm funky fresh, a real hip-hopper and we got a discount to save you some copper.
26;SAM;If you use our code you can save three bucks!
27;SAM;And if you don't, I don't give a fu-- beatbox break down.
28;SAM;(beat boxing) (laughter) There's more.
29;TRAVIS;I have the hiccups!
30;SAM;So in conclus-- oh.
31;SAM;(laughter) So in conclusion, listen up, G, I'm down with Loot Crate and with OPP.
32;SAM;Their swag is the bomb, and their threads rocks.
33;SAM;You want horror?
34;SAM;It's in the box!
35;SAM;Word!
36;LAURA;Wow!
37;MATT;Thank you, Sam!
38;SAM;Sure.
39;LAURA;That made me sweat.
40;SAM;Man.
41;SAM;That went really well.
42;MATT;That did not at all send hip-hop back to 1991.
43;MARISHA;I think I saw that in my D.A.R.E.
44;MARISHA;class.
45;MARISHA;(laughter)
46;MATT;Thank you, Loot Crate, for allowing us, week after week, to have Sam do this.
47;MATT;Thank you.
48;MATT;Thank you, Sam.
49;SAM;Also, lootcrate.com/criticalrole now goes to a custom Critical Role page within lootcrate.com, and you should check it out.
50;SAM;Love you all.
51;SAM;Word to your mama.
52;SAM;(laughter)
53;MATT;All righty!
54;MATT;Next up on the list.
55;LIAM;I knew this episode would start in tears.
