;Player_Name;Transcription_Text
0;MATT;Hello, everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors play Dungeons and Dragons and occasionally leave sobbing messes.
1;MATT;Tonight's going to be a very interesting episode.
2;MATT;Before we get into that, let's go ahead and coast through our announcements so we can get to the actual game at hand.
3;MATT;First and foremost, we want to thank our sponsor for many weeks still going, Loot Crate!
4;ALL;Loot Crate!
5;MATT;Thank you so much.
6;MATT;Sam, did you have something prepared?
7;SAM;I don't really have anything prepared this week, guys.
8;SAM;Instead, I thought I'd tell you a little story about something that happened to a friend of mine.
9;SAM;Her name is Jessie.
10;SAM;We grew up together in a small town.
11;SAM;When she went away to college, she didn't want to go because she was a homebody.
12;SAM;Her parents said, just go, have fun, you'll love it.
13;SAM;She got to college.
14;SAM;A couple of weeks into it, she and her roommate went out at night.
15;SAM;She came home.
16;SAM;She fell asleep.
17;SAM;They were a little tipsy.
18;SAM;She woke up in the middle of the night to this scratching sound and she couldn't figure out what it was.
19;SAM;She just went back to sleep.
20;SAM;Got up again, heard another scratching sound.
21;SAM;What was it?
22;SAM;She couldn't figure it out.
23;SAM;She went back to sleep.
24;SAM;The next morning, she woke up.
25;SAM;Her roommate, the skin had been ripped off of her body, and the cat that they shared had also been turned essentially inside out.
26;SAM;And on the wall in the blood of her roommate was written: Use code criticalrole for $3 off.
27;TRAVIS;That's a lot of blood.
28;SAM;That's a lot of blood, and it's a lot of savings for the new Loot Crate, whose theme is horror.
29;SAM;Channel your best Final Girl with items from The Walking Dead, Nightmare on Elm Street, Friday the 13th, Texas Chainsaw Massacre, Halloween, and the story I just told.
30;SAM;Hey, should we open them up, guys?
31;TRAVIS;Yeah!
32;TRAVIS;Now, I think this is September's theme.
33;SAM;This is definitely horror.
34;SAM;Let's open them and see what horror items we have?
35;LIAM;Whoa, look at this scary car!
36;LAURA;Whoa!
37;LAURA;Look at this scary keychain of Batman!
38;MATT;Scary Stark Industries.
39;TRAVIS;Stark Motor Racing.
40;TALIESIN;The scariest Stark Industries.
41;SAM;Look, it's Dark Knight.
42;LAURA;No, it's Gone in Sixty Seconds.
43;MARISHA;Nicolas Cage was scary in Gone in Sixty Seconds, just throwing it out there.
44;MATT;I forgot he was in that movie.
45;LAURA;Ashley, do you want this?
46;SAM;What's the pin?
47;SAM;The pin says Loot Year.
48;SAM;Oh, it's like Goodyear.
49;TRAVIS;Is this really a hood ornament?
50;MARISHA;Yeah.
51;LAURA;That's pretty sick.
52;SAM;But in all seriousness, Loot Crate is a big supporter of the show, so we want to support them.
53;SAM;Go online, go to lootcrate.com/criticalrole.
54;SAM;Sign up, get subscriptions for all of your friends and all of your dead friends who died tragically in a horror.
55;LAURA;(laughter) In a horror.
56;TRAVIS;I used to break those off of the front of people's cars when I was a kid because I was an asshole.
57;MATT;Yeah, you were.
58;MATT;(laughs) Great!
59;MATT;Thank you, Sam.
60;MATT;Next up on the list, I will actually be down in San Diego tomorrow for the first day of TwitchCon.
61;MATT;I have a panel in room FrankerZ.
62;MATT;It's at 6:30 to 7:30pm about GMing roleplaying games on Twitch.
63;MATT;It's going to be me, Adam Koebel, Chris Perkins, a bunch of great people that run a lot of great RPG programming on Twitch.
64;MATT;We're going to be talking about our experiences running it, answering questions, all that fun stuff, so if you're already down there or you're in the San Diego area, come tomorrow and say hi at the panel at 6:30.
65;MATT;It'll be awesome.
66;LAURA;6:30am.
67;MATT;Oh, totally.
68;MATT;No, never.
69;MATT;6:30pm in FrankerZ, I think is the room, unless I'm reading the emails wrong.
70;MATT;That's the only room information I was given.
71;MATT;FrankerZ is the guy who's sending me the emails.
72;SAM;(stage whispering) They're our fucking sponsors!
73;SAM;Leave the box on the goddamn table!
74;TRAVIS;I got it!
75;MATT;Anyway, speaking of fun news, Laura, you wanted to mention something about some things up on the store?
76;LAURA;Yes, this is exciting!
77;SAM;Is it about your friend who went to college?
78;LAURA;Her face was ripped off, but when her body was discovered, she was wearing one of these How Do You Want to Do This?
79;LAURA;hoodies.
80;LAURA;These sweatshirts that have been available before and then we took them away.
81;LAURA;But guess what, guys?
82;LAURA;They're back!
83;TRAVIS;We made more!
84;LAURA;For two weeks of preorder, you can get these comfy, cozy hoodies.
85;TRAVIS;What is that voice you're doing?
86;TRAVIS;(laughter)
87;LAURA;There's other things in the store too, like our beautiful mug that I don't have on the table today that Ashley used in Blindspot!
88;MARISHA;Yes.
89;MARISHA;And Christmas is right around the corner, you guys!
90;TRAVIS;Yeah, it's getting cold, so make sure you bundle up nice and warm.
91;MATT;It is, no joke, the most comfortable hoodie I've ever owned.
92;LAURA;You'll be wearing it all the time.
93;LIAM;Soft as hell.
94;MATT;I was a little worried when we started doing actual wearable merch, I was like, it's going to end up being that chintzy stuff that we don't want to hawk, but I'm actually really happy that it came out pretty high-quality.
95;MARISHA;I miss school relay races.
96;MATT;What?
97;MARISHA;Sorry, go ahead.
98;MARISHA;Nothing.
99;MARISHA;Don't worry about it.
100;MARISHA;Keep going.
101;MATT;Anyway, anything else you want to talk about?
102;MATT;Nope, then let's go ahead and get into tonight's episode of Critical Role!
103;MATT;[dramatic music] Welcome back.
104;MATT;Before we begin, real fast, I have been notified that Twitch is having some audio sync issues.
105;MATT;Recommendation has been said to try and switch between the Flash player or the HTML5 player on Twitch.
106;MATT;That seems to be fixing the issues for a lot of people out there.
107;MATT;So if you're having issues with that, reloading or trying that switchover should fix the audio sync issues if you're having any.
108;MATT;Without further ado, last we picked up, Vox Machina, who had been traveling to collect the Vestiges of Divergence, artifacts from an old ancient time to gain enough power to combat the Chroma Conclave, a group of chromatic dragons that assailed-- (burps) pardon-- Tal'Dorei, led by Thordak the Cinder King.
109;MATT;When you get nervous, you get the burps.
110;MATT;I feel like Robert Durst.
111;TRAVIS;Robert Kraft, the owner of the Patriots.
112;MATT;Different guy.
113;MATT;You, in searching these artifacts, found that one in the city of Ank'Harel had been taken out from under your nose by a long-forgotten NPC named Ripley.
114;MARISHA;Well, she wasn't forgotten.
115;MATT;You know what I mean.
116;MATT;You gave chase down to the Glintshore Island of the Hespet Archipelago, and upon storming the beaches, destroying her ship, you walked into the jungle, where an ambush turned into folly.
117;MATT;You charged into what appeared to be a couple of illusions.
118;MATT;As the floor detonated beneath you, setting you across the ground and starting an encounter with snipers in position, at half-health and below for most of you.
119;MATT;You gave a very good fight and still managed to push through.
120;MATT;Unfortunately, Dr. Ripley, with the reveal that she has now bound herself to Orthax, the shadow demon that once plagued Percy's inspiration and nightmares, bent on vengeance, managed to take him, slay him, and leave him cold on the ground.
121;MATT;As a group, you did manage to dissect Dr. Ripley very aggressively and get vengeance back for your friend.
122;MATT;But where we left off, you'd just let the adrenaline and the shock of the moment hit you as Ripley's breath expends and a tiny tree begins to try and break and grow from her corpse on this parched land.
123;MATT;So.
124;MATT;What do you want to do?
125;SAM;(chuckles) We have no idea.
126;LAURA;Oh no.
127;SAM;Yeah.
128;TRAVIS;Wait, did she originally take Percy's gun?
129;TRAVIS;Was that what she was using?
130;SAM;I don't think so.
131;SAM;She took his designs.
132;MARISHA;He threw Percy's gun into the pool of acid.
133;TRAVIS;Should we collect her gun now?
134;SAM;We're all extremely emotional, but we need to move quickly if we're going to do anything.
135;SAM;We need to collect all the guns.
136;MARISHA;We should collect her guns.
137;MARISHA;We need her other hand, and we need the Vestiges off of her fucking body.
138;TRAVIS;Well, let's collect those.
139;TRAVIS;Quickly.
140;MARISHA;Grog?
141;TRAVIS;Yes?
