;Player_Name;Transcription_Text
0;MATT;Hello, everyone, and welcome to tonight’s episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons and occasionally get shivved by a rakshasa.
1;LAURA, ASHLEY;No!
2;MATT;Occasionally.
3;ASHLEY;Go away.
4;MATT;So!
5;MATT;Before we go ahead and jump into the game tonight, let’s go ahead and do a couple quick announcements.
6;MATT;First and foremost, returning again this week, our sponsor Loot Crate for bringing this episode to you guys.
7;MATT;For those who are familiar with it, and most of you are at this point, but Loot Crate is a monthly subscription box service.
8;MATT;They have awesome geek-related gear and merchandise and clothing, a lot of them exclusive to the box.
9;MATT;You get $20 a month to get 6-8 items that include licensed gear, apparel, collectible, all that fun-ness, but you also get a $3 discount if you go ahead and sign up at lootcrate.com/criticalrole and enter the key phrase criticalrole - one word - into that new subscription code box.
10;MATT;They also have a DX box, which is bigger, awesome for the super-collector out there.
11;MATT;Which has a bunch (indistinct music in background) of really awesome exclusive content.
12;MATT;Plays awesome music from Ashley’s phone.
13;ASHLEY;That’s true, you all get my phone if you get it.
14;MATT;This month’s Dystopia boxes will be shipping out soon to those of you guys who subscribed, and Loot Crate will be announcing their next box tomorrow, 6/24.
15;TRAVIS;Yeah, they will!
16;MATT;So look forward to that - - and you’ll see what their next theme is, which will be nice.
17;LAURA;How - you were already here!
18;MATT;Sam!
19;MATT;Come on in, sir.
20;MARISHA;You’re here, you’re still coming in.
21;MATT;You were on time and you’re still somehow late.
22;SAM;Nobody told me that the show was starting.
23;MATT;It’s 7:00!
24;MATT;It’s crazy.
25;SAM;Oh, that's right.
26;LAURA;Oh, that’s how it works.
27;MATT;So yeah.
28;MATT;The links are in the chat.
29;MATT;Check it out if you’re interested in signing up for Loot Crate.
30;MATT;We hope to make it a little bit cheaper for you.
31;MATT;So, there.
32;MATT;We got that.
33;MATT;The Critical Role t-shirt design contest has been live for a while.
34;LAURA;There are so many good pieces.
35;MARISHA;Oh man, so many good ones.
36;MATT;It’s going to be ridiculous.
37;MATT;I’m not looking forward to having to choose.
38;MARISHA;Yes, I know, it’s going to be tough.
39;TRAVIS;Stick figures for the win.
40;MATT;But yeah, it closes June 24th, guys.
41;MATT;This Friday at midnight.
42;MATT;"So go ahead and get them in; you got one more day for the most part, a little over a day to get those last entries in and we’ll announce those winners soon."
43;MATT;Remember, you have to be 18 or older to enter, or you can have a guardian enter -
44;LAURA;We choose the top three, right?
45;LAURA;And then the Critters get to -
46;MATT;The Critters choose the last one.
47;SAM;But you can already vote.
48;LAURA;Yeah, I don’t understand how that’s working, because we’re choosing the top three, and then the Critters get to choose between the ones that we choose.
49;MARISHA;I think it’s supposed to be like how our Congress is supposed to work,
50;SAM;They’re choosing representatives?
51;MARISHA;Yeah, exactly.
52;LAURA;I understand.
53;MARISHA;We’ll see what you want -
54;LAURA;And disregard it completely.
55;MARISHA;We’ll disregard it completely and just make our own choice.
56;MATT;We’re just all not in the room where it happens.
57;ALL;(singing) I wanna be in the room where it happens, the room where it happens, the room where it happens.
58;MATT;Oh god, we’re those people.
59;MATT;Sorry.
60;MATT;Anyway, that ends tomorrow.
61;MATT;You have to be 18 or older to enter, but you can have a guardian enter on your behalf if you’re a young artist.
62;MATT;Fantastic news.
63;MATT;Next up, our posters that we put up last week.
64;ALL;Oh!
65;MATT;Really excited about those, done by the awesome Joe Mad.
66;MATT;Those are still on sale.
67;MATT;We have one more week only for the exclusive cast-signed posters, and then two weeks for the pre-order for the regular poster.
68;MATT;Go check it out at the Geek & Sundry shop if you’re interested.
69;MATT;The artwork is amazing.
70;TRAVIS;They’re so pretty!
71;ASHLEY;They're just so pretty!
72;MATT;Pretty sick, movie poster-sized.
73;TRAVIS;I want it in a frame.
74;ASHLEY;They’re so pretty in person.
75;LIAM;In person, they look about ten times more vibrant - - than the images I saw.
76;SAM;Just like us!
77;MATT;Mostly Sam, though.
78;MATT;You can’t help but be so vibrant.
79;MATT;(funny voice) I just spilled on my groin.
80;MATT;I don’t know why I felt like saying that out loud.
81;MATT;So those are the posters.
82;MATT;Check them out at shop.geekandsundry.com/ collections/criticalrole.
83;MATT;Starting tomorrow, we have the MDA stream.
84;MATT;Geek & Sundry’s doing a fantastic 24-hour charity stream.
85;MATT;They’ve partnered with Amy Poehler’s Smart Girls and Nerdist.
86;MATT;There’s going to be a variety: game-show, livestream, everything, benefiting the Muscular Dystrophy Association.
87;MATT;You guys are welcome to come in at any time for as much of it as you can, check out the great programming we have set up for you guys.
88;MATT;It starts tomorrow at 7pm.
89;MATT;There will be no regular programming tomorrow because the crew is going to have to be setting up and preparing for this actual livestream, but starting at 7pm, it goes on for the next 24 hours.
90;MATT;So look forward to us all being sleepless and crazy.
91;MATT;We are going to be finishing out the charity drive Saturday evening, starting at 5pm PT here.
92;MATT;I’m going to be running a one-shot Deadlands Savage Worlds game for a few of our cast who are going to be here for that, and I’m excited for that because it’s one of my favorite settings.
93;MATT;It’s going to be great!
94;MATT;The shirts are available now if you want to check them out.
95;MATT;We have our own -
96;TALIESIN;Right here.
97;TALIESIN;Critical Role.
98;MATT;- charity shirts right there.
99;LAURA;Ooh, it’s beautiful!
100;TALIESIN;Lovely vibrant blue with a thing on the -
101;LAURA;All of it, all of it goes to the charity.
102;MARISHA;Yeah, 100% of the proceeds go to -
103;MATT;All the proceeds go to MDA.
104;ASHLEY;Beautiful “turquaz.”
105;TALIESIN;“Turquaz.”
106;MATT;We got that set up.
107;MATT;Next up, we have tomorrow, we have the next issue, release would we call it, of Dear Vox Machina.
108;MATT;However, it is not necessarily a member of Vox Machina.
109;MATT;This is one that I put together that I think you guys should enjoy.
110;MATT;What character could it possibly be?
111;MATT;I guess you’ll just have to check in tomorrow to find out.
112;MATT;But that’ll be on geekandsundry.com tomorrow, I think around noon?
113;MATT;Maybe earlier.
114;MATT;I’ll tweet it out.
115;MATT;You’ll find out on Geek & Sundry’s Twitter page, but -
116;SAM;Is it Jarrett?
117;MATT;You’ll have to check it out, you’ll have to come find out, but I had a lot of fun writing it.
118;ASHLEY;Someone keeps forgetting to do it.
119;LAURA;(gasps) You haven’t done it yet?
