;Player_Name;Transcription_Text
0;CREW;Hey, Marisha, it's happening.
1;MARISHA;Oh, hi! Apparently we're live because several people just yelled that at me behind the scenes. That's Sam Riegel. This is Taliesin Jaffe.|I'm Marisha Ray. Good evening internet, Critters, and Team Hoomaners alike. This is simply a sync test because apparently for the last several weeks, days-- It's not one of those sync tests.|We're not recording film.
2;SAM;Got it.
3;MARISHA;But that is still probably handy.|(laughs) So this is just me doing a quick test-- man, that-- I don't know how helpful that is.
4;CREW;Got it.
5;LAURA;I am so strong.
6;LIAM;Mosquito.
7;MARISHA;All right. Thank you guys so much for tuning in for this technical test.
8;SAM;Think we're already out.
9;MARISHA;We will-- are we already out? Oh.
10;MATT;I got your coffee.
11;MARISHA;We'll be back for Critical Role in ten minutes if we're not already out.
12;TALIESIN;I'm Marisha Ray.
13;MARISHA;I'm Taliesin Jaffe.
14;TALIESIN;And this has been--
15;MARISHA;A wonderful evening.
16;SAM;Sync-minute.|[music]
17;MATT;Hello everyone! And welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons and Dragons.|(cheering)|We're going to go ahead and hop into this episode soon. Ashley Johnson is on her way. She'll be joining us shortly, but she's in traffic.|Coming from Santa Monica.
18;TRAVIS;Ashley Johnson!
19;MATT;But she's returned, I believe. Like, returned-returned?
20;TRAVIS;For a bit.
21;LAURA;For a while.
22;MATT;For a while? So that's good.
23;SAM;Well, we can't be sure.
24;MATT;I know.
25;SAM;She could die tonight.
26;LAURA, MARISHA;What?
27;MARISHA;Why would you say that?
28;SAM;I'm just saying!
29;LAURA;What are you--
30;MATT;It's true.
31;SAM;I'm just saying.
32;TRAVIS;Take it back!
33;MATT;Pike could possibly--
34;SAM;That would be really bad, by the way.
35;MATT;That'd be really bad if suddenly Pike, like, 'welcome back,' and then Pike just explodes in the game. It'd be pretty bad.
36;LAURA;Oh my god.
37;TALIESIN;Spontaneous combustion.
38;MATT;Anyway. Before we get into that, let's get to our announcements for the episode. First and foremost, guys, we have until April 18th, we have less than a week left before the Critical Role survey is closed. So if you hadn't had a chance yet to help us out, let us know where you're from, what you like about the show, what kind of things you'd like to see in the future about the show.|You can go check it out--
39;LAURA;What your turn-ons are.
40;MATT;Don't send those.
41;MARISHA;Your social security number.
42;MATT;That too.
43;LIAM;We've seen the fanart. We know.
44;MATT;Yep (laughs). At geekandsundry.com/crsurvey.|So we've got a few more days. If you haven't yet, take a moment, fill it out, and we appreciate it.|Thank you guys. Let's see. Taliesin, Wednesday Club. What you got coming up?
45;TALIESIN;Oh, Wednesday Club. We're finally-- Because I forgot that I was leaving town for some reason that I don't remember at all. I don't remember why I had to leave town for some reason.
46;LIAM;Die. Just die.
47;TALIESIN;(laughs) Yeah, we did our funny book show last week, so this week we're going to do our Comics 101. It's going to be a lot of fun. We're going to talk about the basics of how to read comics, if you're brand new to it or if you have questions. It'll be fun. We're going to talk about the amount of time that moves between panels, thought bubbles, talk bubbles, all the fun stuff.|It'll be great.
48;MATT;You should bring a copy of Understanding Comics.
49;MARISHA;Yeah, you should.
50;TALIESIN;Yes, Understanding Comics is going to be talked about.
51;MATT;Perfect.
52;TALIESIN;It's a really, really great book.
53;MATT;Which, by the way, you should get Scott McCloud on there. If you have a connection, let me know. Not on Wednesday, but at some point in the future, I should-- Anyway, we'll talk later. All right. So also Satine Phoenix's first run on GM Tips went up today on YouTube. If you have a chance, check it out. Happily have passed the torch onto her. She's a dear friend for many years, an awesome girl with a lot of awesome nerd cred. And she's bringing her own flavor spin and her majestic presence to the new run of DM Tips.|So go ahead, check it out. She has a lot of awesome things to say. And thank you again, Satine, for doing that and being awesome.
54;TRAVIS;(high-pitched) Yeah!
55;MATT;Marisha, Signal Boost! What's new?
56;MARISHA;Guess who was on this week, you guys?
57;LAURA;I know, I know.
58;TALIESIN;Guy Lombardo.
59;MARISHA;It was our--
60;SAM;Did you say Don Pardo?
61;TALIESIN;Guy Lombardo, but Don Pardo would've been amazing.
62;MARISHA;No. All great guesses.
63;TRAVIS;Foster Wayne Brian.
64;MARISHA;Foster Wayne Brian. Or Foster George Brian, as I think he was originally tagged. But Foster Wayne Brian, our very own, from Talks Machina. He was on. It's a very funny episode. A lot of us make cameos. He makes a cameo, you make a cameo.
65;SAM;I do?
66;TALIESIN;I do?
67;MARISHA;I know! You make a cameo. A lot of people make cameos.
68;SAM;I did not sign any sort of waiver.
69;MARISHA;Actually, you don't.
70;TALIESIN;I was about to say. I watched the episode.
71;MARISHA;Matt Key makes a cameo, sorry. Not you.
72;TALIESIN;So several funny ones.
73;MARISHA;Not him. But he does.
74;SAM;I signed no waiver.
75;MATT;There you go. Thank you, Sam, for a cameo in the episode you don't remember.
76;LIAM;You're out.
77;TRAVIS;We also took some of your semen.
78;SAM;Oh, cool.
79;LIAM;Wow.
80;MATT;(laughs) On that note, I'm flying out tomorrow to be in Seattle, for Sakura-Con. I'll be there this weekend.
81;TRAVIS;Yeah!
82;MATT;They've got awesome panels. Check out the-- Thank you. Travis is so excited.
83;TRAVIS;I'm so excited.
84;MATT;You should come.
85;TRAVIS;I just love Seattle.
86;MATT;It is awesome.
87;TRAVIS;I do. 12th Man. Woo!
88;MATT;So excited to be there at live panels, signings and a bunch of fun stuff. Check out their scheduling to make sure you can come and say hi to me. I'd like that a lot. So I'll see you guys up there tomorrow. Tomorrow. And of course we have Talks Machina coming up every Tuesday at 7PM Pacific here on Twitch and Alpha. We talk about whatever this episode is. And I think that's all we have announcement-wise, right, guys?
89;TRAVIS;Yeah, that's it.
90;LAURA;Was it? Was that it?
91;MATT;Yeah, nice and--
92;TALIESIN;Oh, and we're still talking about the con we're doing.
93;MATT;MomoCon.
94;TALIESIN;MomoCon.
95;MATT;That's right. In Atlanta. At the end of May, May 25th through 28th. So me, Marisha and Taliesin will be there for that, too, in Atlanta.
96;LAURA;I have an announcement. I met Sara Bareilles this weekend.
97;MARISHA;So jelly.
98;CREW;Woo!
99;LAURA;Yeah.
100;TRAVIS;Oh, one shriek!
101;LAURA;There was a woo.
102;MATT;There was.
103;LAURA;That's all. That was my whole announcement.
104;TRAVIS;She met her, like, in the flesh. You didn't cry, did you?
105;LAURA;I did not cry. Some people that I were with did cry.
106;TRAVIS;That I were with. She's still stroking out from it.|(laughter)
107;LAURA;And I may have held onto her waist like this. Can you see my hand? I was like holding-- I didn't grab her boob, but I grabbed her waist.
108;TRAVIS;Like mid-rib.
109;MARISHA;You did creeper?
110;LAURA;No, like a real strong hug.
111;LIAM;You didn't go like--
112;MARISHA;Like a real--
113;LAURA;Like a real hug.
114;TRAVIS;Can't run away.
115;LAURA;I didn't hover hand it. I didn't hover hand it, I put a hand on her waist.
116;TALIESIN;Hover hand, man.
117;TRAVIS;And there's photographic evidence.
118;LAURA;There is photographic evidence.
119;TRAVIS;Your life is complete.
120;MATT;That's pretty badass. Well done.
121;LAURA;"Everything's good. She was like, ""Oh my god, I love Critical Role,"" and I was like, ""I know, right?"". That's it, that's my whole announcement.|(laughter)"
122;LIAM;She strictly plays Shadowrun.|(laughter)
123;MATT;I always took her for a decker.|(laughter)|Anyway. Let's go ahead and dive in to tonight's episode of Critical Role.|[dramatic music]|And welcome back. So, as we last left off, Vox Machina had found themselves finishing up dangling loose threads after they had completed the destruction of the Chroma Conclave and essentially brought what seems to be, for the time being, peace to Tal'Dorei. You helped Keyleth complete her Aramente, where she was crowned the Voice of the Tempest. And you all had one wandering thread of Hotis, the rakshasa, which you have now killed twice and kept returning to the Nine Hells to recoup and threaten to come and slay and you and everything you love in the near future. So to cut that off at the head, you guys traveled to the second layer of Hell, the Iron City of Dis, to hunt down this rakshasa. After signing a contract with a devil, getting the proper information in this regard of where it was within the Bastion of Flesh in the subterranean prison known as Mentiri, you slaughtered a pit fiend named Utugash, and in response to that, as part of the contract, you were given passage into this prison with your equipment. You began a madcap rush through the prison, given the directions that you were presented as part of this deal you had made. You turned into a flock of bats, rushed in with a new friend, a dwarvish Blood Hunter, a werebear, particularly the Order of the Lycan--
124;LAURA;Hot!
125;MATT;-- named Tova, who you had discovered in Utugash's lair. You all, as bats, flew through, averted a number of blockades, managed to just get the attention of a few devils that couldn't catch up to you in time, and basically the entire prison began to converge on you as you reached the central area where this rakshasa was. Couple of scuffles in transition to that area. You were attacked by a large construct made of black chains from this lower area of the hell. Averting its actual battle presence, you systematically went through the doorways to discover the one that housed Hotis. Of which, he was quickly destroyed while still in his larval, reforming form by Grog.|You all battled through the swath of chains that were binding and pulling you back as you all reached out to join hands in time for Keyleth to pull out her tuned fork to the Prime Material Plane and cast Plane Shift, and you all vanished into a familiar flash of whitish-green light. And that is where we left off. So, picking up where we left off. You all instantaneously feel the surge of magical energy burst through your body and all the chains that had tightened around, were threatening to crush your limbs and tear your body into a mass of crushed flesh and blood, release at once. And you have that familiar sense of floating and darkness once more. And you see that single bead of light ahead that grows larger and larger and larger, and that light becomes omnipresent, almost, in size, a familiar grid of divine fire and light. The Divine Gate, ancient and placed by the gods to seal both them, the betrayer gods, and any entities post-Divergence away. You transition once more through this lattice, impacting, the searing warmth just barely cresting the exterior of your form, leaving no damage to your soul, spirit, or physical body, but just enough to shake you as you pass through one of these small, porous holes in the gate itself. Glancing over your shoulder, you can see small little sparks that represent your friends who are traveling as well through this planar tunnel. As the lattice of the Divine Gate shifts and darkens behind you, you see a secondary small blue doorway come rocketing towards you all and suddenly your feet hit the ground. And as your eyes focus and look around, you are in the late afternoon, standing on the dirt ground, familiar scent, of a crisp, end-of-day Whitestone afternoon/evening. You guys are not at the Sun Tree. You are by the southern portion of it, not far from the farmhand who commissioned your portrait, Jameson. But the city is there before you. The streets aren't cluttered with people.
126;LAURA;Not your portrait.
127;SAM;I don't know who that is.
128;MATT;Well, Scanlan. Sorry. We're still getting over it.
129;TRAVIS;You know, that guy that played at your father's whatever.
130;SAM;Yeah.
131;LAURA;Yeah.
132;MATT;So, as you all arrive, touch down, the familiar scent. The smiles come over you, knowing that you've managed to successfully return to a comfortable homestead. The sky is broken with clouds. But you can still see some of the dark blue behind it starting to turn purples and oranges, as the sun, though out of sight, is hitting dusk. A few people look over and glance and you hear whispers as people begin to recognize your arrival with a flashy spark of light and that slight Terminator-like slow rise from a crouch position as you all pull out of the other side of the portal.
133;TRAVIS;(sings Terminator theme)
134;MATT;Yes.
135;MARISHA;Yeah, that's cool.
136;LAURA;And we're all naked.
