;Player_Name;Transcription_Text
0;MATT;Welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors battle traffic from E3 to get here in time to roll dice and play Dungeons and Dragons.
1;TRAVIS;Yeah, we do.
2;SAM;Video games!
3;MARISHA;All the video games.
4;MATT;Thank you for being patient and waiting for us with a couple of tech issues and generally battling living in Los Angeles and having a car.|Anyway, before we kick the night off, real fast, I just want to take a moment to acknowledge-- and I feel it's important to acknowledge there's been a lot of difficulty and a lot of terrible things happening in the world and in our country in particular this past week or so.|And us as Critical Role and this community around, I'm sure many of you agree, we just wanted to take a moment to express that we stand with the families of those that are currently dealing with this difficulty, who have lost those, and stand with the community that this was aimed at.|And everybody who has come together as part of this, we are in full support of this whole wonderful gathering of people in light of this darkness, and I think it's not just myself when I say that everything this community stands for is to perpetually spread love, community, positivity, acceptance, and everything in between.|So we just wanted to bring that to you guys and let you know that we're thinking about you all out there.|And we have a wonderful community of Critters out there as well.|If anyone needs any help, assistance, or guidance, or even just a happy word to pick them up during this rough time, we're all there for you.|So, anyway.|(blows kiss, sighs) Then, to kick off this evening of announcements and such, we are kicking into the second day of our renewed Loot Crate sponsorship.|(cheering)|We wanted to reinforce that their current theme is Dystopia, which is an awesome theme box that deals with all sorts of things of post-apocalypse and dystopian-type films, games, the whole thing.|They have Fallout, RoboCop, BioShock, a whole bunch of really, really cool things, so if you guys want to go to lootcrate.com/criticalrole, you can go ahead and get $3 off your subscription and get a whole bunch of that cool stuff.|We also have the Dystopia DX, which is their big collector's box--
5;TRAVIS;So awesome.
6;MATT;which we showed last week.
7;LAURA;Oh, is that what this one was from?
8;MARISHA;Yeah, your sweet shirt.
9;ASHLEY;I love that shirt.
10;LAURA;Yeah, Skeletor!
11;MATT;(laughs) That's pretty slick.|If you guys have a chance to check it out, go see if it's something you'd be interested in, and make sure you put in the criticalrole-- all one word-- code to go ahead and get your subscription discount, which is fantastic.
12;TRAVIS;Yeah.
13;MATT;We're happy to present that (funny accent) and are happy that they like our show enough to come and sponsor, which is awesome.|(normal voice) So check that out.|You have until the 19th at 9pm Pacific to subscribe and receive the Dystopia theme, otherwise it switches over to the next theme, so if you're gonna get under the wire for that one, (funny accent) do it soon.|It's like a-- yeah! We have a--
14;TRAVIS;We’re giving out crates in a chat room thing, don't we?
15;MATT;You think so?
16;TRAVIS;Yeah.
17;SAM;Giving out crates?
18;LAURA;We are?
19;ASHLEY;Yeah.
20;TALIESIN;Are we?
21;MARISHA;Are we?
22;LAURA;(gasps) That's exciting!
23;ASHLEY;It's going to be one at the break? It's going to be a giveaway at the break?
24;MATT;Oh, snap.
25;ASHLEY;I'm just going to start making stuff up.
26;TRAVIS;Is that-- did you just point and--
27;ASHLEY;Point, shoot.
28;SAM;Loot Crate has donated two Loot Crate DX boxes to give away to you.|We will be doing this at the break and at the end of the night, random in chat.|You must be active! Stay tuned for that! Exclamation point!
29;MARISHA;I'm so glad someone wrote that down for us!
30;TALIESIN;Yeah, I'm so glad they wrote out the exclamation point.
31;TRAVIS;I'm in the chat right now.
32;LAURA;(laughing) Yeah.
33;TRAVIS;Totally.
34;SAM;Remind you, gotta stay active.
35;MARISHA;You're active? Stay active.
36;MATT;Stay active, Travis.|In the game! (snaps fingers) Eyes up here, Grog.|(laughter)|All right, so the next couple of things we want to mention to you guys real fast: We have, it started up today, a Critical Role t-shirt contest that went up.
37;LAURA;Yeah!
38;MATT;We're doing this with Woobox.|The link should be in the chat room for you guys to check out, but we have currently, until June 24th at midnight, the cut-off date, but if anyone wants to submit any designs, all the rules for the contest are there.|When all those designs have been submitted, we ourselves, the cast of Critical Role, are going to pore through and pick our favorite.
39;LAURA;Top three.
40;MATT;Top three?
41;LAURA;Yes.
42;TRAVIS;Top three faves.
43;MATT;(funny accent) And we will have designs incoming forward for official Critical Role shirt stuffs, which is nice.
44;TRAVIS;(similar accent) Critter.
45;LAURA;(similar accent) Critter, it's a Critter shirt.
46;MARISHA;Critter shirt.
47;TRAVIS;(similar accent) Critter community t-shirt.
48;SAM;Are they all going to be like Boaty McBoatface or something? (laughter)
49;LAURA;What's Boaty McBoatface?
50;SAM;"Boaty McBoatface is like an online """"name our boat."""" (all say Boaty McBoatface)"
51;MATT;Say Boaty McBoatface so we can get into this, and I'll be happy.|(laughter)
52;TRAVIS;Do your worst.|Show us your best. Yes!
53;MARISHA;All right, who did we send to Alaska? Who was that? Was that Flo Rida?
54;MATT;No. Oh, Alaska? That was...|Redman. Bulldog.
55;MARISHA;Bulldog!
56;TALIESIN;Pitbull.
57;MARISHA;Pitbull! Pitbull!
58;MATT;I mess up his name intentionally all the time.
59;TRAVIS;Bullman?
60;TALIESIN;(groans)
61;MARISHA;(laughing) Pitbull.
62;ASHLEY;Bulldog. Shih tzu.
63;MARISHA;He played in, like, a Wal-Mart in Anchorage.
64;LAURA;But it was like a joke for publicity, right?
65;MATT;He went ahead and did it! The online poll for his next performance, the internet trolled him and made it to this far Alaska performance.
66;MARISHA;A Wal-Mart in Anchorage, or something like that.
67;LAURA;And he did it
68;MATT;"And he did it! I was like, """"respect to you, man. Well done."""""
69;MARISHA;Yeah, respect.|Like 50 people showed up.
70;LAURA;That's awesome!
71;MARISHA;And got a private--
72;LAURA;Concert.
73;MARISHA;Yeah.
74;TALIESIN;You know what, I've done a con in Anchorage.|It's nice. I like it.
75;TRAVIS;Yeah, man. Anchorage moose.
76;TALIESIN;They've got moose.
77;LAURA;Can we talk about our next thing because I'm so excited about it.
78;SAM;Yeah.
79;TALIESIN;What's the next thing?
80;MARISHA;Yeah.
81;SAM;Do we get to show it, or no?
82;LAURA;YES.
83;TALIESIN;Oh, yes, that!
84;LIAM;(frustrated noises)
85;LAURA;Wait, okay, so Liam gets to say it.
86;MATT;So, you are technically DM.
87;LIAM;So some of you might remember us talking about Joe Madureira and his Kickstarter game, Darksiders Night War, which he successfully Kickstarted.|We talked about it a bunch on this show--
88;MATT;Battle War, you mean?
89;LIAM;Hm?
90;MATT;Darksiders was--
91;LIAM;Excuse me. Battle Chasers.
92;LAURA;Battle Chasers.
93;LIAM;Excuse me, I was going to be here for a half hour and settle down and go over my talking points.|Battle Chasers.
94;SAM;You're wearing the shirt.
95;LIAM;Battle Chasers.|I'm wearing the damn shirt.|(laughter)|Sorry.|Hour and a half in L.A. traffic.|Anyway.|He successfully Kickstarted, they're working on it, I just saw him at E3, I saw him a couple of days ago.|If you don't know Joe's work, he is a comic book artist rock star.|He has worked on X-men, he's worked on Avenging Spider-Man, Inhumans, Ultimates 3, and his own comic, Battle Chasers, which I fell in love with when I was a teenager.|He does gorgeous artwork.|He's only gotten better with time.
96;SAM;Pitbull Chasers.
97;MARISHA;(laughs)
