;Player_Name;Transcription_Text
0;MATT;Hello everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around, roll dice, and play Dungeons and Dragons.
1;MATT;We had quite an interesting episode last week, and leading into more interesting possibilities this week depending on what happens.
2;MATT;So, that being the case, let's go ahead and try and get through these announcements real fast so we can get to the game.
3;MATT;First and foremost, this is our second week of our fantastic Loot Crate sponsorship.
4;MATT;Those of you who aren't familiar with Loot Crate, they're an awesome company that produces monthly themed boxes that contain a bunch of fantastic geek items from licensed gear, apparel, shirts, tchotchkes, statues, all kinds of fun stuff, me and Marisha have been members for years, and it's actually really, really cool stuff and they've been awesome enough to take interest in our show and sponsor us.
5;MATT;To the point where, if you're interested in getting one, you can actually get three dollars off a subscription by going to their website at www.lootcrate.com/criticalrole and put in the code criticalrole to get your three dollars off your subscription.
6;MATT;It's legitimately really cool stuff.
7;MATT;And you should go check it out.
8;MATT;Plus we get to show them the strength of the Critter nation, you guys go ahead and click on the link and say hello.
9;TRAVIS;Yeah, mobilize.
10;MATT;You also have until the 19th of this month at 9:00pm to subscribe to receive the next month's Loot Crate in time, otherwise the cutoff happens, and the next one looks pretty cool.
11;MATT;So you guys should definitely try and get into that window if you can.
12;MATT;Let me see.
13;MATT;There is a-- oh!
14;MATT;Our first Dear Vox Machina article went up last week, answered by our fantastic Scanlan Shorthalt over there.
15;MARISHA;So funny!
16;MATT;You can find that on the Geek and Sundry website.
17;MATT;If you haven't had a chance to check it out, you can check it out on geekandsundry.com.
18;MATT;We have a new one coming out tomorrow--
19;SAM;Featuring?
20;SAM;Featuring?
21;MATT;--featuring, do we know who it's featuring?
22;MATT;Do we know?
23;MATT;Vax is helming that one next week, so that'll be fun.
24;MATT;Check it out at geekandsundry.com for Vax's answering questions sent to him by various people who live all about Tal'Dorei and beyond.
25;LIAM;Let's have a heart-to-heart.
26;MATT;Yeah, what could possibly go wrong?
27;TRAVIS;He walks away.
28;MATT;Or hits them in the head with a--
29;LIAM;I didn't answer any of them, I just left it and took a walk.
30;MATT;Perfect.
31;MATT;I will be a guest at the end of this month, the last weekend in May, at Momocon in Atlanta, as a reminder for all you southern East-coast folks.
32;MATT;Looking forward to coming there and doing some panels and such.
33;MATT;And then the weekend after that, the first weekend of June, I will be at Akon in Dallas, Texas.
34;MATT;So for all you Texas folk they just finally announced that.
35;LAURA;Woo, Dallas.
36;MATT;I'm going to these folks' old neck of the woods.
37;MATT;So if you're in that area, come say hi at Akon, be a lot of fun.
38;MATT;Oh and Travis, you're going to a convention next weekend.
39;TRAVIS;Yeah, Laura and I will be at Puerto Rico Comic Con next weekend.
40;TRAVIS;The 21st and the 22nd, or the 20th and the 21st, whatever Saturday and Sunday is.
41;TRAVIS;We'll be there!
42;TRAVIS;Come squeeze us, we'll sign your books--
43;LAURA;Squeeze us?
44;TRAVIS;Yeah, come squeeze us.
45;TRAVIS;Ahh, sushi burp.
46;TRAVIS;Here we go, it'll be hitting you real soon.
47;MATT;Everything shrivels.
48;MATT;And Taliesin, you will be at another convention as well.
49;TALIESIN;I will, I will be at Amazing Comic Con in Hawaii next weekend.
50;TALIESIN;Actually, I will be missing the game because I will be working on my pale, in the moonlit shores of Hawaii.
51;LAURA;I love how well your shirt and your hoodie match your hair.
52;MARISHA;I know, it looks so pretty.
53;MATT;That is pretty slick, actually.
54;TALIESIN;Thank you.
55;TALIESIN;This is as fresh as I can get.
56;TALIESIN;Because I've been sleeping in the studio.
57;LAURA;It's pretty fresh.
58;LAURA;So fresh and so clean.
59;MARISHA;You look like a Wicked and Divine character.
60;MARISHA;It's pretty great.
61;LIAM;What color will you be next week?
62;TALIESIN;You know, I think I'm going to stick with the lavender for a while.
63;TALIESIN;I think I'm slowly going to move it towards amethyst.
64;MATT;Hey, I like it.
65;TALIESIN;Little green, little blue.
66;MATT;Also, as a note, Taliesin is the new host of Signal Boost.
67;MATT;The next run on the show that Marisha is the creator and co-producer on, writer, all that other fun stuff.
68;MARISHA;Along with Shaun Becker and Eric Campbell.
69;MARISHA;Couldn't do it without those guys.
70;MATT;You had a fun promo go up this week as a teaser for it.
71;MATT;That was rather fun.
72;MARISHA;Check it out.
73;MARISHA;It's very good.
74;MATT;Indeed.
75;MATT;And I want to say, though it's only been a couple days past, happy birthday to Marisha.
76;MATT;Happy birthday this past Tuesday to Marisha.
77;MARISHA;That was added after I sent out the announcements.
78;MATT;That was added right now because I'm your boyfriend.
79;MATT;But yeah, happy birthday.
80;MARISHA;Aw, thanks, babe.
81;ASHLEY;We love our druid!
82;MARISHA;Aw, thanks, guys.
83;ALL;Huzzah!
84;MATT;Speaking of birthdays, I believe there is a gift to be given?
85;LIAM;Yeah, I don't have an announcement, but I have a bit of a surprise.
86;LIAM;This is a little bit early, because my sister and I share a birthday on the 28th.
87;LIAM;However!
88;MARISHA;May birthdays!
89;LIAM;It's a big month for birthdays, I'm a little worried about the next episode or two, if we're going to survive or not, so the gift that I have I want to make sure you have it now, just in case.
90;LIAM;It's very timely.
91;LIAM;Ryan, if you please.
92;LAURA;What?
93;LAURA;What is this thing?
94;LAURA;Is it a baby bear cub?
95;LAURA;Is it a real bear cub?
96;MARISHA;Oh, yeah!
97;LAURA;(gasps)
98;TRAVIS;Holy shit.
99;MATT;That is fantastic.
100;LAURA;Oh.
101;LAURA;My.
102;LAURA;Gosh.
103;LAURA;Shut your face!
104;ASHLEY;Lookit!
105;ASHLEY;Look at what it says.
106;LAURA;Happy birthday twinnie, fly high.
107;LAURA;Thanks brother!
108;MATT;All the barf.
109;MATT;That's so cute!
110;LAURA;Oh my god, I want to ride it around right now.
111;SAM;It's got a little bend in it for your butt!
112;LAURA;Does it really fly though, that's the thing.
113;LIAM;I don't know, maybe have some padding or mattresses out the first time you use it.
114;LAURA;(squeals) Oh, this is so cool!
115;LIAM;I also thought it would look nice in the house.
116;LAURA;It'll look so good in the house!
117;LAURA;It's so perfect.
118;LAURA;It's going to go on the mantle.
119;SAM;Hold it up a little higher so the people can see.
120;LAURA;(sings) That was Ariel, singing Little Mermaid.
121;ASHLEY;(sings)
122;LAURA;Keep singing!
123;LIAM;I'm a big fan of all your decisions, keep making them.
124;LAURA;Thanks, brother.
125;LAURA;Thank you so much.
126;LAURA;I don't have your gift for you here.
127;LIAM;Whatevs.
128;SAM;She dropped it in a portapotty.
129;LAURA;Make him hold it!
130;MATT;Make Trinket hold a broom.
131;MATT;This is going to go perfectly.
132;MATT;It does actually work!
133;TALIESIN;Yeah, yeah no, that's rockin'!
134;MARISHA;That's perfect!
135;ASHLEY;I love it so much.
136;LAURA;Thank you, that's so wonderful.
137;LIAM;You're welcome.
138;LAURA;Don't steal it, Trinket!
139;LAURA;You won't fit on it.
140;MATT;Anything else anyone wants to say or shall we jump into it?
141;MARISHA;I guess we should also say thank you, Hardwick--
142;MATT;Thank you Chris Hardwick for letting your broom be stolen.
143;MATT;Letting.
144;MATT;He still messages occasionally, Where's my broom?!
145;MATT;It's pretty great.
146;MATT;Anyway.
147;MATT;That being the case, let's go ahead and jump into tonight's chaos for this episode of Critical Role.
148;MATT;[dramatic music] Hello everyone.
149;MATT;So, from last week's episode.
