;Player_Name;Transcription_Text
0;MATT;Hello, everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around playing Dungeons and Dragons and say inappropriate things before the camera starts.
1;TRAVIS;Every time!
2;MATT;Anyway, we have back in person our illustrious rogue, Vax'ildan.
3;TRAVIS;Welcome back, baby!
4;MATT;Happy to have you back.
5;MATT;Let's get through our announcements quickly so we can hop into the game, because we have a lot to discuss.
6;MATT;A lot of things to see.
7;MATT;A lot of places to go.
8;MATT;First and foremost, if we can give an awesome shout-out to our sponsor Loot Crate.
9;MATT;Once again been awesome to the show.
10;MATT;Once again, they have their theme this month.
11;MATT;Sam, did you want to say a thing or two?
12;SAM;The theme this month is Sam.
13;SAM;(laughter) It's an odd theme.
14;SAM;It's all shirts that I've worn.
15;SAM;No, the theme this month for Loot Crate is the anti-hero.
16;SAM;That's part of the Loot Crate theme and the Loot Wear theme.
17;SAM;Not just the box, but the bag as well.
18;SAM;But you know what I love?
19;ALL;What do you love, Sam?
20;SAM;I love toys.
21;SAM;I love socks.
22;SAM;I love shirts.
23;SAM;I love posters.
24;SAM;I love collectibles.
25;SAM;I love pins.
26;SAM;I love boxes.
27;SAM;And I love deals.
28;SAM;And you can get all of those things in combination if you get a subscription to Loot Crate.
29;SAM;If you use lootcrate.com/-- that's a forward slash-- CriticalRole, you will be instantly shown a showcase of all the Loot Crate offerings.
30;SAM;And you'll get three, not one, not two, a little less than four, but $3 off a monthly subscription.
31;LAURA;It's just the first month.
32;LAURA;It's just $3 off the very first month.
33;SAM;Well, that's not as good.
34;SAM;(laughter) But let's be real, it's still pretty good.
35;TRAVIS;Where'd you get that great t-shirt you're wearing?
36;SAM;I am the best at advertising.
37;SAM;(laughter)
38;TALIESIN;Why did you have those notes with you?
39;SAM;(clears throat) Goodbye, Loot Crate.
40;SAM;(laughter) $3 off the first month is great, though.
41;SAM;It's still great.
42;SAM;It's still a good intro.
43;SAM;It's essentially like getting-- I don't know, I'm done.
44;LAURA;It's $3 just for writing a word.
45;LIAM;It gets you in, and when you're in, you don't want to get out.
46;TRAVIS;And they got really good stuff.
47;TRAVIS;You got your t-shirt from Loot Crate, Voltron.
48;SAM;Oh!
49;SAM;I'm wearing a Loot Crate t-shirt right now.
50;SAM;It fits.
51;SAM;It makes me look strong and handsome.
52;MATT;It's true.
53;MATT;It's true.
54;MATT;If that $3 can buy you a six-inch sandwich at an undisclosed location where sandwiches can be constructed, purchased by artisans.
55;TRAVIS;Yes!
56;MATT;Thank you so much, Sam.
57;SAM;Sure, I did really good.
58;MATT;You did great, Sam.
59;MATT;That was wonderful.
60;MATT;Taliesin, you're handling it next week.
61;TALIESIN;(groans) Okay.
62;TALIESIN;(laughter)
63;MATT;All right, next announcements.
64;MATT;Two weeks from now, the first Thursday of September, I myself, Marisha, and Taliesin will be out of town.
65;MATT;We'll be in the middle of the desert.
66;MATT;However, the rest of the crew here will be playing a one-shot game, dungeon mastered by our wonderful, recently proven skilled dungeon master here, Liam O'Brien.
67;LIAM;I'm all growed up.
68;MATT;Somehow in the canon world of Exandria.
69;MATT;So we'll see how that plays out for you guys.
70;MATT;I'm really excited to see what you pull together, man.
71;LIAM;I have something very delightful planned.
72;MATT;So that'll be fun.
73;MATT;So look forward to that in a couple of weeks.
74;MATT;We'll be thinking of you guys while we're not here, but watch this guy be evil.
75;MATT;It's going to be great.
76;MATT;Anything else anyone wants to discuss?
77;LIAM;I would like to announce that I am so goddamn happy to be back in this room.
78;TRAVIS;Yeah!
79;TRAVIS;Back in the pilot chair.
80;SAM;Wait a second, pilot chair?
81;MARISHA;Just don't think about it too much.
82;MATT;Can I also point out today that the official World of Warcraft Twitter made a Critical Role joke?
83;TALIESIN;Is that true?
84;MATT;Someone sent them a piece of fanart that had a Jaina and an Illidan talking, and the Critical Role, or the response to me from World of Warcraft, was: the Legion is coming towards you.
85;MATT;How do you want to do this?
86;MATT;That made me happy.
87;MATT;So let's dive in to tonight's episode of chaos and heroic whim.
88;LIAM;What's going to happen?
89;MATT;Out here, we dive into tonight's episode of Critical Role.
90;MATT;[dramatic music] Welcome back.
91;MATT;Last we left off, Vox Machina, in their search for the Vestiges of Divergence to gain artifacts powerful enough to rival, hopefully, the power of the Chroma Conclave, a group of chromatic dragons that have been terrorizing the countryside of Tal'Dorei.
92;MATT;The party has just finished their journey through the Feywild, a strange, magically overgrown realm of fey creatures, illusion, and apparently, corrupt tree-bros. After a fight with this long-mentally disturbed fey, heartbroken and driven to vengeance and soiling the land around him, you defeated him and took from him the bow, Fenthras, which you've been seeking.
93;MATT;Your Vestige, Vex.
94;LAURA;That's right.
95;LAURA;That's right.
