;Player_Name;Transcription_Text
0;MATT;(as Victor) Welcome to tonight's episode of Critical Role, our Halloween edition.
1;MATT;Where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons.
2;MATT;Hi.
3;MATT;Tonight we will astound you with spooky tales.
4;MATT;I don't know what's going to happen as we are just going to continue the game that we normally play.
5;MATT;Welcome, I'm Matthew Mercer, dungeon master.
6;MATT;(laughter) Those who don't recognise my costume, you're really confused, especially if this is your first time tuning in.
7;MATT;Sorry.
8;MATT;(normal voice) I am not dungeon mastering like that for the rest of the evening because I will have to run into traffic after an hour.
9;MATT;(cheering) Guys, I want to give a quick thank you to Amazon for delaying all my orders, making me put my costume together last minute out of shit I found at Home Depot.
10;MATT;So, thanks, Amazon.
11;MATT;It's fantastic, I appreciate it.
12;MATT;All right, anyway.
13;MATT;I guess we should go through everyone else's to see the magnificent costumes around us.
14;MATT;Let's go and start over here with our fantastic--
15;SAM;I am Hotis!
16;SAM;The rakshasa.
17;SAM;And I cannot speak with my mouth hole.
18;SAM;(growls)
19;TALIESIN;I have Clarota, but the mask is currently on its way here because I didn't have nearly enough coffee.
20;TALIESIN;So on the break there will be a giant squiddy mask that is terrible, just terrible.
21;TALIESIN;It's the worst thing.
22;MARISHA;Half Clarota!
23;MARISHA;I am Doctor Anna Ripley, from Wildemount.
24;TRAVIS;You suck, Ripley!
25;MARISHA;This is very heavy.
26;MARISHA;This is a bludgeoning weapon, it is not a piercing weapon.
27;MARISHA;It is a bludgeoning weapon.
28;MARISHA;Right hand to the Briarwoods.
29;MARISHA;And uber Percy fangirl.
30;MARISHA;That's me.
31;MARISHA;Cheers.
32;LAURA;Ooh!
33;LAURA;Nice, nice!
34;MATT;All right, Liam.
35;LIAM;Hi, Hi.
36;LIAM;I am Tyriok.
37;LIAM;I make maps.
38;SAM;Why are you having trouble picking that up?
39;LIAM;Oh, well.
40;LIAM;I was turned to stone recently and I don't have two arms anymore.
41;LIAM;I have one.
42;LIAM;I can still roll dice though and I have maps and I have a compass and I am the least dangerous person at the tables.
43;LIAM;I'm not level one in anything, really, except maps.
44;LIAM;I'm level 15 in maps.
45;LIAM;I'm just happy to be here and be alive.
46;LIAM;Mostly.
47;LAURA;We've been opening doors for him all night.
48;MATT;Thank you, Liam.
49;MATT;That's awesome.
50;MATT;Laura!
51;LAURA;I'm Lady Briarwood.
52;LAURA;Here with the man I broke the world for.
53;TRAVIS;You broke it for me, baby.
54;LAURA;That's right.
55;LAURA;You should say who you are.
56;TRAVIS;Oh right.
57;TRAVIS;I'm Lord Briarwood.
58;LAURA;Nice!
59;TRAVIS;Yeah.
60;TRAVIS;Undead.
61;TRAVIS;Betrothed.
62;LAURA;That's right.
63;LAURA;More than betrothed.
64;LIAM;Do you know, people who are in love high five?
65;TRAVIS;We be representing the dead motherfuckers in this game.
66;LAURA;I'm not dead.
67;TRAVIS;Are you not?
68;LAURA;No, man.
69;LIAM, LAURA;Just inside.
70;MARISHA;Actually, me and Travis are the only dead ones.
71;LAURA;I guess.
72;LAURA;Well, I am dead.
73;LAURA;No, I am dead.
74;LIAM;Currently dead, but you weren't undead.
75;LAURA;Exactly.
76;LAURA;I misunderstood.
77;MATT;You're both dead.
78;MATT;You're destroyed.
79;MATT;You're dead.
80;MATT;You're somewhere--
81;SAM;I'm in another plane of existence probably.
82;MATT;Yeah, you're having a real rough week right now is what you're having.
83;LIAM;My arm is dead.
84;LAURA;You're the only person alive.
85;LIAM;Cheers.
86;LAURA;And you of course.
87;MATT;(as Victor) Parts of me.
88;MATT;(laughter and cheering) (as Victor) What?
89;LAURA;Cheers, Victor!
90;TRAVIS;Yeah, cheers.
91;TRAVIS;Salut, bitches!
92;TRAVIS;(cheering)
93;ALL;Happy Halloween!
94;ALL;(laughter)
95;TRAVIS;I can't breathe.
96;LIAM;So that's it.
97;LIAM;That's the show.
98;MATT;Yeah.
99;MATT;Thanks guys, thanks for coming.
100;MATT;We shall get into our announcements for the evening.
101;MATT;I need my hand to do that.
102;MATT;This is, by the way, pre-finger loss Victor.
103;MATT;As I know there will be some purists out there like, why does he have all his fingers on his right hand?
104;MATT;Matt, you're so inaccurate to your own character.
105;TRAVIS;Wow.
106;MATT;All right, so first and foremost, tonight's episode is sponsored by Loot Crate.
107;TRAVIS;Loot Crate!
108;TRAVIS;(cheering)
109;LAURA;Get your maps off the table, Tyriok.
110;LIAM;Sorry.
111;MATT;We've got an unboxing to do here with their last theme here.
112;MATT;But before we get to that, Sam did you want to--
113;SAM;I wanted to say guys that this month's theme for Loot Crate is magic.
114;SAM;And I don't have much planned for tonight, but I did learn a magic trick.
115;SAM;I'm going to do a magic trick.
116;SAM;It's my first magic trick I've ever done.
117;SAM;And I don't have a deck of cards at home, so I'm going to use spell cards instead.
118;SAM;I'm going to give it a little shuffle here.
119;SAM;Oh, hey there, cowboy.
120;TRAVIS;Oh, please let something come out of your mouth.
121;SAM;Taliesin, can you give it a shuffle?
122;TALIESIN;I'll give it a shuffle.
123;TALIESIN;Liam, do you want to shuffle?
124;LIAM;Sure, I've got it.
125;LIAM;We got 30 minutes, right?
126;SAM;Get ready for November's enchanting theme: Magical!
127;SAM;We've cast a powerful, ancient spell to deliver you this 100% exclusive crate.
128;SAM;Featuring bewitching items from Doctor Strange, Fantastic Beasts and Where to Find Them, Big Trouble in Little China.
129;SAM;And more!
130;SAM;Use the promo link: lootcrate.com/criticalrole.
131;MATT;Marvel as Sam slowly becomes Bill Cosby.
132;MATT;(Cosby impression) You see!
133;LIAM;No, no, no, you can't take that back!
134;SAM;I'm going to show Taliesin that these are, in fact, randomly shuffled cards.
135;SAM;Can you please give the card deck a little cut anywhere you'd like.
136;SAM;I'm going to look at this half of the card deck and it'll tell me what's in the other half of the card deck.
137;SAM;Okay.
138;SAM;I know, Taliesin, by looking at that, that the fourth card down is See Invisibility.
139;TALIESIN;The fourth card down.
140;SAM;The fourth card down is See Invisibility.
141;TALIESIN;So, this card here will be--
142;SAM;Will be See Invisibility!
143;TALIESIN;It's like Nicholas Cage as a cat.
144;TALIESIN;It is, in fact, See Invisibility!
145;TALIESIN;(cheering)
146;SAM;The most magical part of this trick is is that it makes me a quadruple threat: Actor!
147;SAM;Singer!
148;SAM;Professional Lover of Ladies!
149;SAM;And now, Professional Magician.
150;SAM;Thank you, Loot Crate.
151;SAM;(cheering)
152;TALIESIN;Remarkable Nicholas Cage impersonator, too, it's really amazing.
153;SAM;My mouth hurts so much right now.
154;MATT;Thank you, Sam.
155;MATT;Thank you, Loot Crate!
156;MATT;Yeah, open your Loot Crates.
157;LAURA;These are from October.
158;LAURA;These are not the current ones.
159;TALIESIN;These are not the magic theme.
160;MARISHA;No, it's the horror theme.
161;SAM;This is what everyone should be getting this month.
162;LAURA;Okay, that's the coolest.
163;TRAVIS;Are those Freddy Kruger chopsticks?
164;LAURA;Yes, I think.
165;MATT;That's pretty badass.
166;MARISHA;Little chibi Leatherface!
167;TRAVIS;Of all the things you thought could never be cute.
168;TRAVIS;Leatherface.
169;MARISHA;Little Leatherface.
170;LAURA;I have to see if these are actually usable or not.
171;MATT;Negan shirt.
172;LIAM;Got it!
173;LIAM;It's off!
174;MATT;Well done, Liam, well done.
175;TRAVIS;Camp Crystal Lake.
176;SAM;Ooh, a little pennant.
177;SAM;My son will love that, big fan of the movie.
178;LIAM;I'm going to wear this for my kids all the time.
179;MATT;Regrettable Supervillains.
180;TALIESIN;Too soon, guys, too soon.
181;TALIESIN;Just too soon.
182;TRAVIS;Preying Mantis man.
183;TRAVIS;Cat Girl.
184;TALIESIN;Camp Crystal Lake, oh that makes me happy.
185;SAM;These chopsticks are amazing.
186;LAURA;The chopsticks are awesome, but don't try to pick up metal dice with them because they're way too heavy.
187;LIAM, LAURA;Don't eat metal dice.
188;TRAVIS;Ooh, the Walking Dead t-shirt.
189;TRAVIS;I call dibs on this next week!
190;MATT;There you go.
191;MATT;Thank you very much, Loot Crate, for sponsoring us.
192;MATT;You can go to lootcrate.com/criticalrole.
193;TRAVIS;Promo code criticalrole.
194;LIAM;Beginner's luck.
195;LAURA;That's right.
196;TRAVIS;Good job.
197;TALIESIN;That one's going to fail you every time, now.
198;MATT;That would have been impressive.
199;MATT;Next up, let's see.
200;MATT;GM Tips.
