;Player_Name;Transcription_Text
0;MATT;Hello, and welcome to tonight's episode of Critical Role, the show where a bunch of us nerdy-ass voice actors play Dungeons and Dragons.
1;MATT;We're happy to be back.
2;MATT;"We all had an awesome break; some good times away from the chaos of the city for some of us."
3;MATT;And we're happy to get this ball rolling again.
4;MATT;So we've missed you guys.
5;MATT;In case you can't tell right now, we have some cool upgrades to the set, actually, if you want to have a look around real fast.
6;MATT;The hardworking folks here at Geek and Sundry were awesome enough to go ahead and build this awesome set, and we're happy enough to have a guest here this evening, as Ashley Johnson is able to hang with us tonight.
7;ASHLEY;Hello!
8;ASHLEY;I like you!
9;MARISHA;Ashley!
10;MARISHA;When did you get here!
11;ASHLEY;Oh man, you know, I just flew in.
12;ASHLEY;Oh no, we're running out of space.
13;ASHLEY;Grog!
14;ASHLEY;Hi, guys.
15;ASHLEY;Wow, this looks amazing!
16;MATT;Yeah, the set upgrades are awesome.
17;MATT;This is a tribute to the awesome crew that put all this together over the break, so you guys did an awesome job.
18;MATT;Give a big shout-out to the Geek and Sundry crew.
19;MATT;Yeah, and so for those who saw earlier tweets, we're pushing off Critmas to probably next week because we're all returning from break, we're all getting back into the swing of things, and we're still getting our bearings here.
20;MATT;So we're doing that next week.
21;MATT;But nevertheless, let's go ahead and start off with some of our quick announcements as we wait for the illustrious Sam Riegel to find his way here.
22;MATT;There was a clamoring from the fanbase to extend the sale of the Critmas sweaters.
23;MATT;Orders kept coming in, so we've extended it up to this point.
24;MATT;However, I believe tonight, is it, tonight?
25;LAURA;Tonight is the last night.
26;MATT;The very last night to purchase your Critmas sweaters--
27;LAURA;And then it's gone forever.
28;MATT;Forever.
29;MARISHA;I lived in mine over the holiday.
30;LAURA;Yes, you did.
31;LAURA;Every time I saw you were wearing it.
32;LIAM;They're very soft on the inside.
33;MARISHA;Very soft.
34;TALIESIN;I have not seen a picture of my brother without his.
35;MARISHA;They're so comfy.
36;MATT;I'm so glad that we've converted your brother into a dungeon master.
37;TALIESIN;It's so adorable!
38;TALIESIN;Oh, he's watching right now and I just called him adorable.
39;TALIESIN;I feel so bad.
40;MARISHA;And we found out your parents watch!
41;MARISHA;We had no idea your parents watched.
42;MATT;Yeah, my parents were like, yeah, no, we'll be there, we'll watch it.
43;MATT;I was like, really?
44;MATT;In Hawaii?
45;MATT;In the middle of the jungle?
46;MATT;Like, yeah, I guess we're Critters.
47;MATT;I'm like, my parents are Critters.
48;LAURA;Your parents are Critters?
49;MATT;Sam plowed that pathway first, so Momlan, definitely the most active of the Critter parents.
50;MATT;So.
51;MATT;Hi, guys, if you're watching.
52;MATT;We still have the awesome Wyrmwood Gaming thing they're providing for all you guys.
53;MATT;They have their custom dice boxes and containment elements.
54;LIAM;And the code for free shipping is CritRole.
55;LIAM;CritRole, and the shipping is free.
56;MATT;Isn't that cool?
57;MARISHA;I think this is also technically yours, too.
58;LAURA;Yeah, that box is hers.
59;MARISHA;Yeah, we put expansion pack spell cards in there that we can all use.
60;MATT;Mostly poop, though.
61;MATT;We kept cards in it, it gets, yeah, you've got to search for it.
62;MATT;Collectible poop.
63;MATT;From our foraging.
64;MATT;From Scanlan.
65;MATT;So yeah, Wyrmwood Gaming, CritRole for free shipping.
66;MATT;That's awesome.
67;MATT;Thank you, guys, again for providing that for our awesome fanbase.
68;MATT;Also, I've just finally put up my final-- outside of, barring some horrible exploit that shows up months from now-- my final update to the Blood Hunter class as of ten minutes ago.
69;MATT;You can go to my twitter.
70;MATT;I think the link on the Geek and Sundry page isn't working, it still goes to the old PDF, but I had the link to the new PDF on my twitter, will be put up there shortly.
71;MATT;A bunch of updates and with a link to the page that has all the patch notes, if you will.
72;MARISHA;And new art.
73;MATT;"And new art from our fantastic artist Joma who has done our poster and stuff; he did an incredible job."
74;MATT;He named the character Elias and I think Elias the Blood Hunter is my new spirit animal.
75;MATT;So thank you, Joma, for that, you're amazing, and go check it out and see.
76;MATT;If you're playing a Blood Hunter, it's got some cool updates and I think some things you'll like.
77;MATT;Also, our artist Kit Buss put up today her first peek of our new character art designs.
78;LIAM;She put it all up.
79;MATT;Oh, it's all up?
80;MATT;She put it all up.
81;LIAM;She did a group shot and then she did this long row of each separate.
82;MARISHA;Oh, I haven't seen that one yet.
83;LAURA;Yeah.
84;LAURA;It's pretty remarkable.
85;TALIESIN;Season two.
86;TALIESIN;Season two art.
87;MATT;I don't know when this became season two, but apparently, it's season two now.
88;MATT;So.
89;MATT;Season two.
90;MATT;(laughs) That's cool.
91;MATT;So go check out Kit's art and you get to see the evolution of the Vox Machina outfits and designs.
92;TALIESIN;I have poofy arms now.
93;TALIESIN;I like my poofy arms.
94;TALIESIN;I've got little poofy arms.
95;TALIESIN;They're great.
96;MARISHA;I've got body paint.
97;MARISHA;Ashy body paint.
98;MATT;Yeah.
99;MATT;And don't think this invalidates the previous designs, either.
100;MATT;This is just one of their various facets.
101;LIAM;We have more than one set of clothes.
102;LAURA;Yeah, otherwise, we'd all smell like Grog.
103;ASHLEY;Ooh, burn.
104;LAURA;Diss!
105;TRAVIS;Or a compliment.
106;TRAVIS;(laughter)
107;MATT;I wanted to put a thank-you out there to the amazing community of Critters that came together to do that Christmas art bomb.
108;MATT;For those who haven't seen it yet, Liam here collaborated with a lot of you guys to put together an amazing gallery of Christmas, holiday-themed Critical Role art, and it's brilliant.
109;MATT;If you haven't seen the gallery yet, I highly recommend it.
110;MATT;You can find it on the website.
111;MATT;You are a rogue, sir.
112;LIAM;Well, I love everyone in the room and I love all of you watching, so thank you.
113;LIAM;(laughter) It came out great.
114;LIAM;I was extremely happy, so were they, so were you, so win-win.
115;TALIESIN;So much art.
116;MATT;The last bit of my announcements for the evening, I wanted to put another thank-you out to the amazing Critter community.
117;MATT;Thanks to you guys, even after Extra Life and everything that went on towards the end of the year, we were still able to donate an additional $5,000 to 826LA over the Christmas break.
118;MATT;(cheering) They're looking forward to continue working with us.
119;MATT;We're looking forward to continue working with them, as well as the many other charities that we put up as part of our Guide to Critmas page.
120;MATT;But they're very thankful and we're extremely thankful to have you guys being so active in giving back to the communities and helping these wonderful opportunities for younger kids to express their imaginations and creative writing skills.
121;MATT;So thank you guys for being so awesome.
122;TRAVIS;Reading and writing is good.
123;TRAVIS;It's very imp-- imp-- is good.
124;TALIESIN;It's very impotent?
125;TRAVIS;Yeah, I've been told I'm very impotent.
126;TRAVIS;(laughter)
127;TALIESIN;Thank you for running with that.
128;MATT;We got to get Grog on a side quest for 826LA.
129;TRAVIS;You're very impotent to me.
130;TALIESIN;Don't make it too hard.
131;MATT;(rimshot) All righty, so.
132;MATT;While we wait for Sam to arrive, let's go ahead and get into the game--
133;LAURA;Oh my gosh, it's so pretty!
134;LAURA;The panels behind us.
135;LAURA;I was just admiring--
136;MATT;I still haven't seen how the layout looks.
137;MATT;I'm really excited for it.
138;MATT;Also, for the guys who didn't notice, we've updated some of the models and we have colors and a new camera setup.
139;MATT;Hopefully we're going to be testing it out in the weeks to come for camera angles and stuff.
140;MATT;Things might shift as it happens, but the color scheme on each of the characters' bases corresponds to their portrait color, so it should be easier to distinguish who is who on the battle mat going forward, so hopefully that'll be helpful.
141;MATT;All right!
142;MATT;Let's get into the thick of it.
143;MATT;So last we left off, Vox Machina had finished an extensive, dangerous, tension-filled adventure to the city of Whitestone, the historical landscape that Percival had grown up in, to take down the Briarwoods, two husband-and-wife team who had been responsible for ruling it with an iron fist for five years, doing a series of atrocities and seemingly preparing a ziggurat, or an ancient temple, beneath the city for some unspoken deity that the party then discovered to be an individual referred to as Vecna.
144;MATT;They defeated the Briarwoods, managed to help the rebellion of the people of Whitestone retake their town, and helped them set up, prepare, and have their first Winter's Crest festival in five years, since they were taken by the Briarwoods.
145;MATT;There was much game-playing and eating contests and polymorphed bears and very fun adventures and exchange of gifts and some fun moments and the party, as we return now, the festival over, a few days past, begin to put their affairs in order to return back to Emon in what their next order of business is.
146;MATT;So picking up from there, it's been a few days since the Winter's Crest festival has finished, and most of the decorations, as quickly put together as they were given the circumstances, still loosely hang around the city as a reminder of the first real beacon of positivity in this city's history in a while.
147;MATT;The town's much more lively, as people are less afraid to walk out into the streets during the day and it's like watching it really come to life over these past few weeks.
148;TRAVIS;Sam's here.
149;MATT;He's going to go ahead and get a Scanlan.
150;MATT;Grog wouldn't be paying attention anyway.
151;MATT;It's fine.
152;ASHLEY;Squirrel!
153;TALIESIN;(Grog voice) It's true.
154;TALIESIN;It's very true.
155;MATT;You've sent off word to Allura in Emon regarding the strange black dot that stands at the top of the ziggurat and letting her know the circumstance, and heard back from her that it seems that-- (laughter)
156;TALIESIN;Smooth.
157;TALIESIN;Well done.
158;MATT;And welcome back, Sam Riegel.
159;SAM;Where am I?
160;ASHLEY;I know.
161;ASHLEY;It's so magical.
162;SAM;What's going on?
163;SAM;Oh my god, Ashley's here!
164;SAM;Oh my god, you're here!
165;SAM;Okay, sorry.
166;SAM;You were recapping.
167;MATT;That's okay.
168;MATT;So where was I?
169;MATT;Yes, okay.
170;MATT;So with the town being set where it is, you sent word to Allura Vysoren, and she's going to gather a few friends and investigate the ziggurat to see what the nature of this lingering magic is.
171;MATT;However, there still stands the part of returning to the Council and proving your innocence, amongst other loose threads you wish to pursue.
172;MATT;What would you like to do?
173;MARISHA;Well, we have all that awesome proof, right?
174;LAURA;I think we need to head back to Emon.
175;SAM;Do we have proof?
176;SAM;What do we have?
